,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time
229,BP 110/02 (717221),ZSK 70.9,22010477,6:00,74.43,4.9,24.19,53.69,27.06.2022 08:55:00,28.06.2022 10:45:00,2022-06-28 06:00:00
230,BP 110/02 (717221),ZSK 70.12,99220416,12:24,75.62,4.44,20.8,46.81,28.06.2022 10:45:00,29.06.2022 17:20:00,2022-06-28 12:24:00
231,BP 110/02 (717221),ZSK 70.8,22010429,18:00,74.31,4.94,24.14,53.7,28.06.2022 10:45:00,29.06.2022 17:20:00,2022-06-28 18:00:00
232,BP 110/02 (717221),ZSK 70.8,22010429,18:00,74.19,4.86,24.0,53.45,28.06.2022 10:45:00,29.06.2022 17:20:00,2022-06-28 18:00:00
233,BP 110/02 (717221),ZSK 70.4,22010478,18:00,76.04,3.76,22.46,48.86,29.06.2022 00:05:00,29.06.2022 10:00:00,2022-06-29 18:00:00
234,BP 110/02 (717221),ZSK 70.5,22010478,18:00,75.49,4.32,23.13,50.81,29.06.2022 00:05:00,29.06.2022 10:00:00,2022-06-29 18:00:00
235,BP 110/02 (717221),ZSK 70.9,22010478,18:00,75.46,4.4,23.49,51.51,29.06.2022 00:05:00,29.06.2022 10:00:00,2022-06-29 18:00:00
236,BP 110/02 (717221),ZSK 70.8,22010430,10:00,73.36,5.34,24.4,55.02,29.06.2022 00:05:00,29.06.2022 10:00:00,2022-06-29 10:00:00
237,BP 110/02 (717221),ZSK 70.8,22010430,18:00,74.15,5.15,23.58,53.03,29.06.2022 21:20:00,30.06.2022 06:50:00,2022-06-30 18:00:00
238,BP 110/02 (717221),ZSK 70.8,22010504,6:00,75.03,4.69,22.99,51.14,29.06.2022 21:20:00,30.06.2022 06:50:00,2022-06-30 06:00:00
239,BP 110/02 (717221),ZSK 70.8,22010504,6:00,74.63,4.88,23.23,51.94,29.06.2022 21:20:00,30.06.2022 06:50:00,2022-06-30 06:00:00
240,BP 110/02 (717221),ZSK 70.8,22010504,6:00,73.87,5.26,24.33,54.57,29.06.2022 10:00:00,29.06.2022 21:20:00,2022-06-29 06:00:00
241,BP 110/02 (717221),ZSK 70.8,22010505,10:26,74.28,5.14,23.85,53.42,29.06.2022 10:00:00,29.06.2022 21:20:00,2022-06-29 10:26:00
242,BP 110/02 (717221),ZSK 70.8,22010505,6:00,75.75,4.18,23.15,50.58,01.07.2022 00:00:00,01.07.2022 03:50:00,2022-07-01 06:00:00
243,BP 110/02 (717221),ZSK 70.8,22010506,6:00,75.5,4.47,22.95,50.63,01.07.2022 00:00:00,01.07.2022 03:50:00,2022-07-01 06:00:00
244,BP 110/02 (717221),ZSK 70.8,22010507,18:00,75.87,4.24,23.55,51.25,01.07.2022 00:00:00,01.07.2022 03:45:00,2022-07-01 18:00:00
245,BP 110/02 (717221),ZSK 70.4,22010520,9:15,76.86,3.39,21.91,47.2,01.07.2022 03:50:00,01.07.2022 14:15:00,2022-07-01 09:15:00
246,BP 110/02 (717221),ZSK 70.5,22010520,9:15,76.28,3.94,22.02,48.17,01.07.2022 03:50:00,01.07.2022 14:15:00,2022-07-01 09:15:00
247,BP 110/02 (717221),ZSK 70.9,22010520,10:15,74.95,4.39,23.19,51.23,01.07.2022 03:50:00,01.07.2022 14:15:00,2022-07-01 10:15:00
248,BP 110/02 (717221),ZSK 70.8,22010507,10:15,78.07,3.38,21.77,46.42,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 10:15:00
249,BP 110/02 (717221),ZSK 70.8,22010507,13:00,74.69,4.52,23.72,52.39,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 13:00:00
250,BP 110/02 (717221),ZSK 70.8,22010508,18:00,74.46,4.69,24.1,53.31,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 18:00:00
251,BP 110/02 (717221),ZSK 70.8,22010508,6:00,75.66,4.2,23.28,50.86,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 06:00:00
252,BP 110/02 (717221),ZSK 70.8,22010510,12:30,72.85,5.65,24.66,56.04,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 12:30:00
253,BP 110/02 (717221),ZSK 70.8,22010511,6:00,73.2,5.59,24.83,56.09,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 06:00:00
254,BP 110/02 (717221),ZSK 70.8,22010510,18:00,73.34,5.63,25.15,56.6,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 18:00:00
255,BP 110/02 (717221),ZSK 70.8,22010511,18:00,73.14,5.67,24.83,56.2,30.06.2022 17:15:00,30.06.2022 23:59:00,2022-06-30 18:00:00
256,BP 110/02 (717221),ZSK 70.8,22010512,8:30,72.79,5.31,24.41,55.31,01.07.2022 14:15:00,02.07.2022 00:00:00,2022-07-02 08:30:00
257,BP 110/02 (717221),ZSK 70.8,22010512,18:00,73.89,4.92,24.74,54.91,01.07.2022 14:15:00,02.07.2022 00:35:00,2022-07-01 18:00:00
258,BP 110/02 (717221),ZSK 70.8,22010513,6:00,72.4,5.66,24.92,56.74,01.07.2022 14:15:00,02.07.2022 00:20:00,2022-07-02 06:00:00
259,BP 110/02 (717221),ZSK 70.4,22010532,6:00,75.79,3.92,23.45,50.82,06.07.2022 03:00:00,07.07.2022 05:00:00,2022-07-06 06:00:00
260,BP 110/02 (717221),ZSK 70.8,22010514,6:00,72.48,5.58,24.92,56.62,06.07.2022 03:00:00,07.07.2022 05:00:00,2022-07-06 06:00:00
261,BP 110/02 (717221),ZSK 70.4,22010534,6:00,76.37,3.78,23.17,49.95,06.07.2022 03:00:00,07.07.2022 05:00:00,2022-07-06 06:00:00
262,BP 110/02 (717221),ZSK 70.5,22010534,6:00,74.98,4.44,23.58,51.94,07.07.2022 06:30:00,08.07.2022 08:45:00,2022-07-08 06:00:00
263,BP 110/02 (717221),ZSK 70.5,22010537,6:00,74.71,4.83,23.93,53.04,11.07.2022 16:30:00,12.07.2022 18:25:00,2022-07-12 06:00:00
264,BP 110/02 (717221),ZSK 70.9,22010537,6:00,74.78,4.52,23.66,52.24,11.07.2022 16:30:00,12.07.2022 18:25:00,2022-07-12 06:00:00
265,BP 110/02 (717221),ZSK 70.5,22010536,18:00,76.25,4.01,22.55,49.16,13.07.2022 19:25:00,14.07.2022 19:30:00,2022-07-14 18:00:00
266,BP 110/02 (717221),ZSK 70.9,22010536,18:00,75.68,4.2,23.01,50.4,12.07.2022 18:25:00,13.07.2022 19:25:00,2022-07-13 18:00:00
267,BP 110/02 (717221),ZSK 70.8,22010514,18:00,73.29,5.28,24.89,55.83,13.07.2022 19:25:00,14.07.2022 19:30:00,2022-07-14 18:00:00
268,BP 110/02 (717221),ZSK 70.8,22010515,18:00,72.29,5.67,24.92,56.8,14.07.2022 19:30:00,15.07.2022 18:45:00,2022-07-15 18:00:00
269,BP 110/02 (717221),ZSK 70.8,22010515,6:00,70.88,6.26,25.62,59.39,13.07.2022 19:25:00,14.07.2022 19:30:00,2022-07-14 06:00:00
270,BP 110/02 (717221),ZSK 70.8,22010515,6:00,71.93,5.73,25.29,57.7,14.07.2022 19:30:00,15.07.2022 18:45:00,2022-07-15 06:00:00
271,BP 110/02 (717221),ZSK 70.4,22010538,18:00,78.65,2.55,20.62,43.43,18.07.2022 13:00:00,18.07.2022 23:30:00,2022-07-18 18:00:00
272,BP 110/02 (717221),ZSK 70.5,22010538,18:00,75.23,4.42,22.93,50.68,18.07.2022 13:00:00,18.07.2022 23:30:00,2022-07-18 18:00:00
273,BP 110/02 (717221),ZSK 70.4,22010540,18:00,78.94,2.08,20.84,43.26,18.07.2022 13:00:00,18.07.2022 23:30:00,2022-07-18 18:00:00
274,BP 110/02 (717221),ZSK 70.5,22010540,18:00,75.92,3.8,23.61,50.92,18.07.2022 23:30:00,19.07.2022 09:50:00,2022-07-19 18:00:00
275,BP 110/02 (717221),ZSK 70.9,22010540,18:00,76.0,3.7,23.7,50.93,18.07.2022 23:30:00,19.07.2022 09:50:00,2022-07-19 18:00:00
276,BP 110/02 (717221),ZSK 70.8,22010516,18:00,72.53,5.4,25.32,57.08,18.07.2022 23:30:00,19.07.2022 09:50:00,2022-07-19 18:00:00
277,BP 110/02 (717221),ZSK 70.8,22010516,9:30,72.36,5.83,25.55,58.01,20.07.2022 02:40:00,21.07.2022 04:50:00,2022-07-20 09:30:00
278,BP 110/02 (717221),ZSK 70.4,22010542,9:30,76.42,3.59,23.7,50.64,19.07.2022 21:10:00,20.07.2022 06:55:00,2022-07-20 09:30:00
279,BP 110/02 (717221),ZSK 70.5,22010542,9:30,75.7,3.98,23.52,51.03,19.07.2022 21:10:00,20.07.2022 06:55:00,2022-07-20 09:30:00
280,BP 110/02 (717221),ZSK 70.9,22010542,9:30,75.12,4.32,23.72,51.98,19.07.2022 21:10:00,20.07.2022 06:55:00,2022-07-20 09:30:00
281,BP 110/02 (717221),ZSK 70.4,22010542,18:00,76.66,3.47,22.28,48,19.07.2022 09:50:00,19.07.2022 21:10:00,2022-07-19 18:00:00
282,BP 110/02 (717221),ZSK 70.9,22010542,18:00,73.92,5.06,24.87,55.26,19.07.2022 09:50:00,19.07.2022 21:10:00,2022-07-19 18:00:00
283,BP 110/02 (717221),ZSK 70.8,22010517,6:00,74.34,4.74,23.44,52.29,21.07.2022 04:50:00,22.07.2022 12:50:00,2022-07-21 06:00:00
284,BP 110/02 (717221),ZSK 70.8,22010518,18:00,73.72,5.22,23.94,53.94,21.07.2022 03:25:00,21.07.2022 12:40:00,2022-07-21 18:00:00
285,BP 110/02 (717221),ZSK 70.8,22010518,6:00,72.09,5.96,25.14,57.58,21.07.2022 03:25:00,21.07.2022 13:00:00,2022-07-21 06:00:00
286,BP 110/02 (717221),ZSK 70.8,22010518,10:00,72.39,5.69,25.23,57.31,21.07.2022 03:25:00,21.07.2022 09:25:00,2022-07-21 10:00:00
287,BP 110/02 (717221),ZSK 70.8,22010519,6:00,72.62,5.61,24.9,56.53,20.07.2022 17:30:00,21.07.2022 03:25:00,2022-07-21 06:00:00
288,BP 110/02 (717221),ZSK 70.8,22010518,18:00,71.4,6.22,25.57,58.97,20.07.2022 17:30:00,21.07.2022 03:25:00,2022-07-20 18:00:00
289,BP 110/02 (717221),ZSK 70.8,22010622,6:00,71.96,5.78,24.92,57.1,20.07.2022 17:30:00,21.07.2022 03:25:00,2022-07-21 06:00:00
290,BP 110/02 (717221),ZSK 70.8,22010519,18:00,73.33,5.26,24.86,55.75,20.07.2022 02:40:00,21.07.2022 04:50:00,2022-07-20 18:00:00
291,BP 110/02 (717231),ZSK 70.8,22010577,13:15,71.27,6.12,25.3,58.49,21.07.2022 04:50:00,22.07.2022 12:50:00,2022-07-21 13:15:00
292,BP 110/02 (717231),ZSK 70.8,22010577,6:00,71.53,6.12,25.51,58.68,21.07.2022 04:50:00,22.07.2022 12:50:00,2022-07-21 06:00:00
293,BP 110/02 (717231),ZSK 70.8,22010578,18:00,71.7,6.03,25.49,58.48,21.07.2022 04:50:00,22.07.2022 12:50:00,2022-07-21 18:00:00
294,BP 110/02 (717231),ZSK 70.8,22010578,18:00,71.9,5.98,24.8,57.14,22.07.2022 02:20:00,22.07.2022 07:30:00,2022-07-22 18:00:00
295,BP 110/02 (717231),ZSK 70.8,22010578,6:00,72.92,5.54,24.54,55.7,22.07.2022 02:20:00,22.07.2022 07:30:00,2022-07-22 06:00:00
296,BP 110/02 (717231),ZSK 70.8,22010578,6:00,71.87,6.03,25.02,57.57,22.07.2022 02:20:00,22.07.2022 07:30:00,2022-07-22 06:00:00
297,BP 110/02 (717231),ZSK 70.8,22010579,18:00,73.14,5.42,24.94,56.14,21.07.2022 13:00:00,22.07.2022 02:20:00,2022-07-21 18:00:00
298,BP 110/02 (717231),ZSK 70.8,22010579,6:00,72.85,5.52,24.92,56.36,21.07.2022 13:00:00,22.07.2022 02:20:00,2022-07-22 06:00:00
299,BP 110/02 (717231),ZSK 70.4,22010600,6:00,76.67,3.49,21.73,47.07,22.07.2022 07:30:00,22.07.2022 18:05:00,2022-07-22 06:00:00
300,BP 110/02 (717231),ZSK 70.5,22010600,6:00,76.33,3.5,22.73,48.95,22.07.2022 07:30:00,22.07.2022 18:05:00,2022-07-22 06:00:00
301,BP 110/02 (717231),ZSK 70.9,22010600,6:00,77.18,3.48,21.51,46.45,22.07.2022 07:30:00,22.07.2022 18:05:00,2022-07-22 06:00:00
302,BP 110/02 (717231),ZSK 70.8,22010581,18:00,73.14,5.47,24.45,55.36,25.07.2022 08:50:00,26.07.2022 00:35:00,2022-07-25 18:00:00
303,BP 110/02 (717231),ZSK 70.8,22010581,10:30,71.78,5.76,24.72,56.83,25.07.2022 08:50:00,26.07.2022 00:50:00,2022-07-25 10:30:00
304,BP 110/02 (712331),ZSK 70.5,22010603,10:30,76.86,3.64,21.45,46.63,25.07.2022 08:50:00,26.07.2022 00:25:00,2022-07-25 10:30:00
305,BP 110/02 (712331)),ZSK 70.4,22010603,10:30,77.09,3.24,21.86,46.87,25.07.2022 08:50:00,26.07.2022 00:35:00,2022-07-25 10:30:00
306,BP 110/02 (717221),ZSK 70.4,22010604,6:00,74.69,4.44,23.02,51.13,25.07.2022 08:50:00,26.07.2022 00:25:00,2022-07-26 06:00:00
307,BP 110/02 (717221),ZSK 70.5,22010604,6:00,74.14,4.84,23.93,53.33,25.07.2022 16:45:00,26.07.2022 16:30:00,2022-07-26 06:00:00
308,BP 110/02 (717221),ZSK 70.9,22010604,6:00,74.4,4.7,23.64,52.57,25.07.2022 16:45:00,26.07.2022 16:30:00,2022-07-26 06:00:00
309,BP 110/02 (717231),ZSK 70.8,22010581,18:00,72.67,5.65,25.05,56.8,26.07.2022 16:30:00,27.07.2022 18:45:00,2022-07-26 18:00:00
310,BP 110/02 (717221),ZSK 70.5,22010605,9:00,75.52,4.2,22.79,50.09,26.07.2022 16:30:00,27.07.2022 18:45:00,2022-07-27 09:00:00
311,BP 110/02 (717221),ZSK 70.4,22010605,18:00,76.02,3.65,23.17,49.98,26.07.2022 16:30:00,27.07.2022 18:45:00,2022-07-26 18:00:00
312,BP 110/02 (717221),ZSK 70.9,22010605,9:00,74.01,4.71,24.4,54.07,27.07.2022 18:45:00,28.07.2022 18:00:00,2022-07-28 09:00:00
313,BP 110/02 (717221),ZSK 70.5,22010605,9:45,74.86,4.6,22.96,51.08,26.07.2022 16:30:00,27.07.2022 18:45:00,2022-07-27 09:45:00
314,BP 110/02 (717231),ZSK 70.8,22010583,6:00,73.53,5.26,24.23,54.58,28.07.2022 18:00:00,29.07.2022 11:15:00,2022-07-29 06:00:00
315,BP 110/02 (717221),ZSK 70.4,22010607,6:00,75.42,4.25,23.03,50.6,27.07.2022 18:45:00,28.07.2022 18:00:00,2022-07-28 06:00:00
316,BP 110/02 (717221),ZSK 70.5,22010607,6:00,75.35,4.29,23.43,51.36,08.08.2022 10:30:00,09.08.2022 11:50:00,2022-08-09 06:00:00
317,BP 110/02 (717221),ZSK 70.9,22010607,6:00,74.84,4.78,23.6,52.36,08.08.2022 10:30:00,09.08.2022 11:50:00,2022-08-09 06:00:00
318,BP 110/02 (717231),ZSK 70.8,22010582,18:00,72.17,5.61,24.89,56.77,09.08.2022 11:50:00,10.08.2022 13:15:00,2022-08-09 18:00:00
319,BP 110/02 (717221),ZSK 70.4,22010605,18:00,75.63,4.18,23.41,51.07,09.08.2022 11:50:00,10.08.2022 13:15:00,2022-08-09 18:00:00
320,BP 110/02 (717221),ZSK 70.5,22010605,18:00,74.37,4.89,23.04,51.75,09.08.2022 11:50:00,10.08.2022 13:15:00,2022-08-09 18:00:00
321,BP 110/02 (717221),ZSK 70.9,22010605,18:00,74.54,4.74,24.29,53.65,09.08.2022 11:50:00,10.08.2022 13:15:00,2022-08-09 18:00:00
322,BP 110/02 (717231),ZSK 70.8,22010584,6:00,72.68,5.48,24.36,55.46,10.08.2022 13:15:00,11.08.2022 11:00:00,2022-08-11 06:00:00
323,BP 110/02 (717221),ZSK 70.4,22010609,6:00,75.24,4.14,23.51,51.4,10.08.2022 13:15:00,11.08.2022 11:00:00,2022-08-11 06:00:00
324,BP 110/02 (717221),ZSK 70.4,22010608,18:00,76.1,3.85,22.7,49.34,11.08.2022 11:00:00,12.08.2022 12:00:00,2022-08-11 18:00:00
325,BP 110/02 (717221),ZSK 70.5,22010608,18:00,74.85,4.62,23.7,52.38,11.08.2022 11:00:00,12.08.2022 12:00:00,2022-08-11 18:00:00
326,BP 110/02 (717221),ZSK 70.5,22010611,6:00,74.3,4.81,23.35,52.23,15.08.2022 22:30:00,16.08.2022 09:00:00,2022-08-16 06:00:00
327,BP 110/02 (717221),ZSK 70.9,22010611,6:00,74.14,4.7,23.36,52.22,15.08.2022 22:30:00,16.08.2022 09:00:00,2022-08-16 06:00:00
328,BP 110/02 (717221),ZSK 70.9,22010610,18:00,73.72,5.21,24.9,55.56,15.08.2022 22:30:00,16.08.2022 09:00:00,2022-08-16 18:00:00
329,BP 110/02 (717221),ZSK 70.4,22010612,18:00,74.83,4.58,24.19,53.18,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 18:00:00
330,BP 110/02 (717221),ZSK 70.5,22010612,18:00,75.08,4.3,23.55,51.71,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 18:00:00
331,BP 110/02 (717221),ZSK 70.9,22010612,18:00,74.09,4.97,24.11,53.79,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 18:00:00
332,BP 110/02 (717231),ZSK 70.8,22010587,8:45,72.29,5.62,24.41,55.9,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 08:45:00
333,BP 110/02 (717221),ZSK 70.8,22010586,18:00,72.05,5.79,24.67,56.64,16.08.2022 19:50:00,17.08.2022 19:40:00,2022-08-17 18:00:00
