,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time
334,BP 110/02 (717221),ZSK 70.8,22010586,18:00,72.33,5.72,24.1,55.43,17.08.2022 05:30:00,17.08.2022 15:30:00,2022-08-17 18:00:00
335,BP 110/02 (717231),ZSK 70.4,22010585,12:30,75.72,4.21,22.7,49.85,17.08.2022 05:40:00,17.08.2022 15:30:00,2022-08-17 12:30:00
336,BP 110/02 (717221),ZSK 70.8,22010585,12:30,72.57,5.69,24.72,56.33,17.08.2022 05:40:00,17.08.2022 15:30:00,2022-08-17 12:30:00
337,BP 110/02 (717231),ZSK 70.4,22010585,18:00,75.67,4.11,22.97,50.24,15.08.2022 20:10:00,16.08.2022 19:50:00,2022-08-16 18:00:00
338,BP 110/02 (717231),ZSK 70.8,22010585,18:00,72.07,6.07,25.41,58.16,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 18:00:00
339,BP 110/02 (717221),ZSK 70.4,22010585,18:00,75.25,4.19,23.02,50.61,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 18:00:00
340,BP 110/02 (717231),ZSK 70.8,22010588,6:00,71.45,5.9,24.8,57.3,16.08.2022 09:00:00,16.08.2022 19:40:00,2022-08-16 06:00:00
341,BP 110/02 (717231),ZSK 70.8,22010587,18:00,72.32,5.68,24.72,56.46,17.08.2022 19:40:00,18.08.2022 08:35:00,2022-08-18 18:00:00
342,BP 110/02 (717231),ZSK 70.8,22010588,10:00,72.02,5.73,24.75,56.74,17.08.2022 19:40:00,18.08.2022 08:35:00,2022-08-18 10:00:00
343,BP 110/02 (717231),ZSK 70.8,22010588,18:00,72.17,5.91,25.18,57.56,18.08.2022 01:45:00,18.08.2022 11:50:00,2022-08-18 18:00:00
344,BP 110/02 (717231),ZSK 70.8,22010588,6:00,72.15,5.69,24.68,56.49,18.08.2022 01:45:00,18.08.2022 11:50:00,2022-08-18 06:00:00
345,BP 110/02 (717221),ZSK 70.8,22010588,6:00,72.01,5.89,24.91,57.17,18.08.2022 01:45:00,18.08.2022 11:50:00,2022-08-18 06:00:00
346,BP 110/02 (717231),ZSK 70.8,22010589,18:00,72.29,5.7,24.98,56.94,16.08.2022 19:50:00,17.08.2022 19:40:00,2022-08-17 18:00:00
347,BP 110/02 (717231),ZSK 70.8,22010589,6:00,72.45,5.68,24.81,56.55,17.08.2022 15:30:00,18.08.2022 01:45:00,2022-08-18 06:00:00
348,BP 110/02 (717231),ZSK 70.8,22010590,18:00,71.54,6.2,25.07,58.03,17.08.2022 15:30:00,18.08.2022 01:45:00,2022-08-17 18:00:00
349,BP 110/02 (717231),ZSK 70.8,22010590,6:00,71.65,5.96,24.86,57.35,17.08.2022 15:30:00,18.08.2022 01:45:00,2022-08-18 06:00:00
350,BP 110/02 (717231),ZSK 70.8,22010590,6:00,71.93,5.75,24.7,56.72,18.08.2022 20:00:00,19.08.2022 22:00:00,2022-08-19 06:00:00
351,BP 110/02 (717221),ZSK 70.4,22010661,8:30,74.43,4.58,23.09,51.49,18.08.2022 23:00:00,19.08.2022 09:00:00,2022-08-19 08:30:00
352,BP 110/02 (717221),ZSK 70.4,22010661,8:30,72.93,5.15,24.9,55.91,18.08.2022 23:00:00,19.08.2022 09:00:00,2022-08-19 08:30:00
353,BP 110/02 (717221),ZSK 70.5,22010661,12:30,70.86,5.79,24.99,57.85,18.08.2022 23:00:00,19.08.2022 09:00:00,2022-08-19 12:30:00
354,BP 110/02 (717231),ZSK 70.8,22010638,15:00,72.33,5.74,24.95,56.91,18.08.2022 11:50:00,18.08.2022 23:00:00,2022-08-18 15:00:00
355,BP 110/02 (717221),ZSK 70.4,22010661,18:00,75.1,4.66,22.53,50.29,18.08.2022 11:50:00,18.08.2022 23:00:00,2022-08-18 18:00:00
356,BP 110/02 (717221),ZSK 70.5,22010661,18:00,72.84,5.53,24.64,55.9,19.08.2022 09:00:00,19.08.2022 19:20:00,2022-08-19 18:00:00
357,BP 110/02 (717231),ZSK 70.8,22010638,18:00,72.06,5.78,24.78,56.81,19.08.2022 09:00:00,19.08.2022 19:20:00,2022-08-19 18:00:00
358,BP 110/02 (717231),ZSK 70.8,22010638,6:00,72.43,5.65,24.66,56.28,19.08.2022 09:00:00,19.08.2022 19:20:00,2022-08-19 06:00:00
359,BP 110/02 (717221),ZSK 70.5,22010662,6:00,73.88,4.73,24.06,53.59,18.08.2022 20:00:00,19.08.2022 22:00:00,2022-08-19 06:00:00
360,BP 110/02 (717221),ZSK 70.4,22010663,6:00,76.01,3.68,23.11,49.92,18.08.2022 20:00:00,19.08.2022 22:00:00,2022-08-19 06:00:00
361,BP 110/02 (717221),ZSK 70.5,22010663,6:00,75.11,4.27,23.03,50.77,18.08.2022 11:45:00,18.08.2022 14:45:00,2022-08-18 06:00:00
362,BP 110/02 (717231),ZSK 70.8,22010639,6:00,72.75,5.49,24.46,55.6,18.08.2022 11:45:00,18.08.2022 21:05:00,2022-08-18 06:00:00
363,BP 110/02 (717231),ZSK 70.8,22010639,6:00,72.13,5.75,24.53,56.31,18.08.2022 11:45:00,18.08.2022 14:45:00,2022-08-18 06:00:00
364,BP 110/02 (717231),ZSK 70.8,22010639,13:00,72.2,5.54,24.55,56.1,18.08.2022 11:45:00,18.08.2022 21:05:00,2022-08-18 13:00:00
365,BP 110/02 (717231),ZSK 70.8,22010639,15:27,71.92,5.79,24.84,56.99,18.08.2022 11:45:00,18.08.2022 14:45:00,2022-08-18 15:27:00
366,BP 110/02 (717221),ZSK 70.4,22010665,6:00,75.7,3.81,23.27,50.46,23.08.2022 04:00:00,24.08.2022 08:30:00,2022-08-23 06:00:00
367,BP 110/02 (717231),ZSK 70.8,22010640,18:00,72.39,5.59,24.5,55.97,23.08.2022 04:00:00,24.08.2022 08:30:00,2022-08-23 18:00:00
368,BP 110/02 (717231),ZSK 70.8,22010640,18:00,71.26,6.17,24.82,57.71,23.08.2022 04:00:00,24.08.2022 08:30:00,2022-08-23 18:00:00
369,BP 110/02 (717231),ZSK 70.8,22010640,6:00,72.81,5.6,24.56,55.85,23.08.2022 04:00:00,24.08.2022 08:30:00,2022-08-23 06:00:00
370,BP 110/02 (717231),ZSK 70.8,22010640,6:00,72.83,5.51,24.34,55.37,23.08.2022 04:00:00,24.08.2022 08:30:00,2022-08-23 06:00:00
371,BP 110/02 (717231),ZSK 70.8,22010640,8:15,72.75,5.34,24.19,54.98,24.08.2022 08:30:00,25.08.2022 09:10:00,2022-08-25 08:15:00
372,BP 110/02 (717221),ZSK 70.4,22010664,18:00,75.3,4.09,22.29,49.23,24.08.2022 08:30:00,25.08.2022 09:10:00,2022-08-24 18:00:00
373,BP 110/02 (717221),ZSK 70.5,22010664,18:00,75.41,4.11,22.89,50.23,25.08.2022 09:10:00,26.08.2022 08:45:00,2022-08-25 18:00:00
374,BP 110/02 (717221),ZSK 70.4,22010667,6:00,76.05,3.78,22.63,49.16,25.08.2022 09:10:00,26.08.2022 08:45:00,2022-08-26 06:00:00
375,BP 110/02 (717221),ZSK 70.5,22010667,6:00,75.67,4.02,22.76,49.8,25.08.2022 09:10:00,26.08.2022 08:45:00,2022-08-26 06:00:00
376,BP 110/02 (717231),ZSK 70.8,22010641,7:20,71.68,5.5,23.71,54.89,25.08.2022 09:10:00,26.08.2022 08:45:00,2022-08-26 07:20:00
377,BP 110/02 (717231),ZSK 70.8,22010641,6:00,71.93,5.51,23.99,55.25,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-06 06:00:00
378,BP 110/02 (717231),ZSK 70.8,22010641,10:00,71.99,5.46,23.91,55.02,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-05 10:00:00
379,BP 110/02 (717231),ZSK 70.8,22010641,18:00,72.22,5.68,24.58,56.28,05.09.2022 11:45:00,06.09.2022 01:45:00,2022-09-05 18:00:00
380,BP 110/02 (717231),ZSK 70.8,22010641,18:00,71.55,6.04,24.68,57.19,05.09.2022 14:00:00,06.09.2022 14:00:00,2022-09-05 18:00:00
381,BP 110/02 (717231),ZSK 70.8,22010641,6:00,72.52,5.58,24.57,56,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-06 06:00:00
382,BP 110/02 (717221),ZSK 70.4,22010666,18:00,75.29,4.28,24.17,52.63,05.09.2022 11:45:00,06.09.2022 01:45:00,2022-09-05 18:00:00
383,BP 110/02 (717221),ZSK 70.5,22010666,18:00,74.7,4.56,23.44,51.94,05.09.2022 14:00:00,06.09.2022 14:00:00,2022-09-05 18:00:00
384,BP 110/02 (717221),ZSK 70.5,22010667,18:00,75.17,4.21,22.39,49.57,05.09.2022 14:00:00,06.09.2022 14:00:00,2022-09-05 18:00:00
385,BP 110/02 (717221),ZSK 70.4,22010667,18:00,76.63,3.43,21.09,45.92,06.09.2022 01:45:00,06.09.2022 16:35:00,2022-09-06 18:00:00
386,BP 110/02 (717221),ZSK 70.4,22010668,9:15,76.28,3.45,22.19,48,06.09.2022 01:45:00,06.09.2022 16:35:00,2022-09-06 09:15:00
387,BP 110/02 (717221),ZSK 70.8,22010642,11:15,70.21,6.2,25.05,58.73,06.09.2022 16:35:00,07.09.2022 07:15:00,2022-09-07 11:15:00
388,BP 110/02 (717221),ZSK 70.4,22010669,6:00,75.45,3.99,22.96,50.22,06.09.2022 16:35:00,07.09.2022 07:15:00,2022-09-07 06:00:00
389,BP 110/02 (717221),ZSK 70.5,22010669,6:00,74.19,4.64,22.79,51.16,06.09.2022 14:00:00,07.09.2022 14:10:00,2022-09-07 06:00:00
390,BP 110/02 (717221),ZSK 70.4,22010668,18:00,74.96,3.87,21.66,48.08,06.09.2022 14:00:00,07.09.2022 14:10:00,2022-09-06 18:00:00
391,BP 110/02 (717221),ZSK 70.5,22010668,18:00,74.89,4.44,23.64,52.09,06.09.2022 14:00:00,07.09.2022 14:10:00,2022-09-06 18:00:00
392,BP 110/02 (717231),ZSK 70.6,22010642,6:00,71.29,5.88,24.83,57.42,06.09.2022 14:00:00,07.09.2022 14:10:00,2022-09-07 06:00:00
393,BP 110/02 (717231),ZSK 70.8,22010642,6:00,71.98,5.61,24.44,56.11,07.09.2022 22:45:00,08.09.2022 13:25:00,2022-09-08 06:00:00
394,BP 110/02 (717231),ZSK 70.8,22010642,18:00,70.37,6.34,24.75,58.28,07.09.2022 22:45:00,08.09.2022 13:25:00,2022-09-08 18:00:00
395,BP 110/02 (717231),ZSK 70.8,22010642,18:00,70.46,6.12,24.66,57.84,07.09.2022 14:10:00,08.09.2022 12:45:00,2022-09-07 18:00:00
396,BP 110/02 (717231),ZSK 70.8,22010642,10:15,71.31,5.92,24.78,57.35,07.09.2022 14:10:00,08.09.2022 12:45:00,2022-09-08 10:15:00
397,BP 110/02 (717221),ZSK 70.4,22010671,6:00,75.7,4.11,23.09,50.43,07.09.2022 14:10:00,08.09.2022 12:45:00,2022-09-08 06:00:00
398,BP 110/02 (717221),ZSK 70.5,22010671,6:00,74.94,4.23,23.1,50.92,07.09.2022 14:10:00,08.09.2022 12:45:00,2022-09-08 06:00:00
399,BP 110/02 (717231),ZSK 70.8,22010643,18:00,72.77,5.5,24.27,55.27,07.09.2022 14:10:00,08.09.2022 12:45:00,2022-09-07 18:00:00
400,BP 110/02 (717231),ZSK 70.8,22010643,18:00,71.19,6.15,24.98,58,07.09.2022 07:15:00,07.09.2022 22:45:00,2022-09-07 18:00:00
401,BP 110/02 (717231),ZSK 70.8,22010643,6:00,72.17,5.67,24.28,55.77,07.09.2022 07:15:00,07.09.2022 22:45:00,2022-09-07 06:00:00
402,BP 110/02 (717231),ZSK 70.8,22010643,6:00,72.09,5.78,24.3,55.98,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00
403,BP 110/02 (717221),ZSK 70.4,22010670,18:00,76.0,3.74,22.37,48.7,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 18:00:00
404,BP 110/02 (717221),ZSK 70.5,22010670,18:00,75.4,4.14,22.88,50.25,08.09.2022 12:45:00,09.09.2022 13:00:00,2022-09-08 18:00:00
405,BP 110/02 (717221),ZSK 70.4,22010672,6:00,74.93,4.4,23.43,51.66,08.09.2022 12:45:00,09.09.2022 13:00:00,2022-09-09 06:00:00
406,BP 110/02 (717221),ZSK 70.5,22010672,6:00,74.27,4.56,23.49,52.24,08.09.2022 12:45:00,09.09.2022 13:00:00,2022-09-09 06:00:00
407,BP 110/02 (717231),ZSK 70.8,22010644,18:00,73.26,5.32,24.33,54.94,08.09.2022 12:45:00,09.09.2022 13:00:00,2022-09-08 18:00:00
408,BP 110/02 (717231),ZSK 70.6,22010644,6:00,72.17,5.7,24.6,56.36,08.09.2022 12:45:00,09.09.2022 13:00:00,2022-09-09 06:00:00
409,BP 110/02 (717221),ZSK 70.8,22010644,6:00,71.96,5.75,24.58,56.49,08.09.2022 12:45:00,09.09.2022 13:00:00,2022-09-09 06:00:00
410,BP 110/02 (717221),ZSK 70.4,22010671,18:00,76.58,3.52,22.2,47.94,08.09.2022 13:25:00,09.09.2022 04:15:00,2022-09-08 18:00:00
411,BP 110/02 (717221),ZSK 70.5,22010671,18:00,75.06,4.11,22.97,50.53,08.09.2022 13:25:00,09.09.2022 04:15:00,2022-09-08 18:00:00
412,BP 110/02 (717221),ZSK 70.4,22010674,6:00,76.45,3.14,21.65,46.7,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00
413,BP 110/02 (717221),ZSK 70.5,22010674,6:00,74.75,4.17,23.5,51.65,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00
414,BP 110/02 (717231),ZSK 70.8,22010645,6:00,71.42,5.9,24.99,57.64,12.09.2022 07:00:00,12.09.2022 22:40:00,2022-09-12 06:00:00
415,BP 110/02 (717231),ZSK 70.8,22010645,18:00,70.21,6.23,24.76,58.26,12.09.2022 08:15:00,13.09.2022 10:15:00,2022-09-12 18:00:00
416,BP 110/02 (717231),ZSK 70.8,22010645,18:00,72.09,5.68,24.47,56.15,12.09.2022 22:40:00,13.09.2022 13:50:00,2022-09-13 18:00:00
417,BP 110/02 (717231),ZSK 70.8,22010644,18:00,70.57,6.34,25.3,59.1,12.09.2022 22:40:00,13.09.2022 13:50:00,2022-09-13 18:00:00
418,BP 110/02 (717221),ZSK 70.4,22010673,18:00,75.28,4.2,23.26,51,12.09.2022 07:00:00,12.09.2022 22:40:00,2022-09-12 18:00:00
419,BP 110/02 (717221),ZSK 70.5,22010673,18:00,73.88,4.66,23.01,51.71,12.09.2022 07:20:00,12.09.2022 22:40:00,2022-09-12 18:00:00
420,BP 110/02 (717231),ZSK 70.8,22010646,9:15,71.13,6.0,24.47,57,12.09.2022 08:15:00,13.09.2022 10:15:00,2022-09-12 09:15:00
421,BP 110/02 (717221),ZSK 70.4,22010675,9:00,75.17,4.05,23.0,50.48,12.09.2022 08:15:00,13.09.2022 10:15:00,2022-09-12 09:00:00
422,BP 110/02 (717221),ZSK 70.5,22010675,9:00,73.31,4.67,22.66,51.4,12.09.2022 08:15:00,13.09.2022 10:15:00,2022-09-12 09:00:00
423,BP 110/02 (717221),ZSK 70.5,22010675,9:45,73.81,4.93,23.58,53,12.09.2022 08:15:00,13.09.2022 10:15:00,2022-09-12 09:45:00
424,BP 110/02 (717221),ZSK 70.5,22010675,10:45,74.18,4.72,23.98,53.28,14.09.2022 04:30:00,14.09.2022 14:30:00,2022-09-14 10:45:00
425,BP 110/02 (717231),ZSK 70.8,22010646,6:00,75.14,4.37,23.27,51.25,14.09.2022 04:30:00,14.09.2022 14:30:00,2022-09-14 06:00:00
426,BP 110/02 (717231),ZSK 70.8,22010646,18:00,74.19,4.56,22.94,51.34,13.09.2022 10:15:00,14.09.2022 14:30:00,2022-09-13 18:00:00
427,BP 110/02 (717221),ZSK 70.4,22010675,18:00,76.5,3.63,22.43,48.48,13.09.2022 10:15:00,14.09.2022 14:30:00,2022-09-13 18:00:00
428,BP 110/02 (717221),ZSK 70.5,22010675,18:00,75.61,4.3,22.31,49.31,13.09.2022 10:15:00,14.09.2022 14:30:00,2022-09-13 18:00:00
429,BP 110/02 (717221),ZSK 70.4,22010676,6:00,76.64,3.4,20.64,45.1,13.09.2022 10:15:00,14.09.2022 14:30:00,2022-09-14 06:00:00
430,BP 110/02 (717221),ZSK 70.5,22010676,6:00,75.4,4.28,22.8,50.23,13.09.2022 13:50:00,14.09.2022 04:30:00,2022-09-14 06:00:00
431,BP 110/02 (717221),ZSK 70.4,22010695,18:00,76.24,3.53,21.61,47.1,13.09.2022 13:50:00,14.09.2022 04:30:00,2022-09-13 18:00:00
432,BP 110/02 (717221),ZSK 70.5,22010695,18:00,76.61,3.48,22.1,47.72,14.09.2022 20:00:00,15.09.2022 10:55:00,2022-09-15 18:00:00
433,BP 110/02 (717221),ZSK 70.4,22010695,6:00,77.0,3.01,20.57,44.45,14.09.2022 00:00:00,15.09.2022 10:55:00,2022-09-14 06:00:00
434,BP 110/02 (717221),ZSK 70.5,22010695,6:00,75.86,3.89,22.29,48.77,14.09.2022 14:30:00,15.09.2022 17:00:00,2022-09-15 06:00:00
435,BP 110/02 (717231),ZSK 70.8,22010647,9:35,74.47,4.7,23.38,52.09,14.09.2022 14:30:00,15.09.2022 17:00:00,2022-09-15 09:35:00
436,BP 110/02 (717231),ZSK 70.8,22010647,18:00,75.19,4.3,22.8,50.36,14.09.2022 04:30:00,14.09.2022 14:30:00,2022-09-14 18:00:00
437,BP 110/02 (717221),ZSK 70.4,22010696,6:00,77.09,3.25,21.53,46.3,14.09.2022 04:30:00,14.09.2022 14:30:00,2022-09-14 06:00:00
438,BP 110/02 (717221),ZSK 70.5,22010696,6:00,74.17,5.0,23.8,53.24,16.09.2022 02:15:00,16.09.2022 17:30:00,2022-09-16 06:00:00
439,BP 110/02 (717231),ZSK 70.8,22010648,18:00,73.12,5.16,24.14,54.52,16.09.2022 02:15:00,16.09.2022 17:30:00,2022-09-16 18:00:00
440,BP 110/02 (717231),ZSK 70.8,22010648,6:00,73.96,4.74,23.73,52.99,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-16 06:00:00
441,BP 110/02 (717221),ZSK 70.4,22010698,6:45,76.85,3.32,21.23,45.96,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-16 06:45:00
442,BP 110/02 (717221),ZSK 70.5,22010698,6:45,75.73,4.21,22.59,49.66,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-16 06:45:00
443,BP 110/02 (717231),ZSK 70.8,22010649,18:00,72.87,5.08,23.83,54.05,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-15 18:00:00
444,BP 110/02 (717231),ZSK 70.8,22010649,6:45,73.31,5.19,23.77,53.82,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-16 06:45:00
445,BP 110/02 (717221),ZSK 70.4,22010697,18:00,76.73,3.35,21.54,46.58,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-15 18:00:00
446,BP 110/02 (717231),ZSK 70.8,22010650,8:00,73.25,5.09,23.31,52.97,14.09.2022 14:30:00,15.09.2022 17:00:00,2022-09-15 08:00:00
447,BP 110/02 (717231),ZSK 70.8,22010650,8:00,72.94,5.23,24.04,54.52,15.09.2022 10:55:00,16.09.2022 02:15:00,2022-09-16 08:00:00
448,BP 110/02 (717231),ZSK 70.8,22010650,6:00,73.31,5.05,23.36,52.98,15.09.2022 10:55:00,16.09.2022 02:15:00,2022-09-16 06:00:00
449,BP 110/02 (717231),ZSK 70.8,22010650,6:00,72.93,5.36,24.07,54.7,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-16 06:00:00
450,BP 110/02 (717231),ZSK 70.8,22010651,6:00,73.65,4.91,23.36,52.67,15.09.2022 17:00:00,16.09.2022 20:50:00,2022-09-16 06:00:00
451,BP 110/02 (717231),ZSK 70.8,22010652,18:00,73.64,4.86,22.88,51.8,19.09.2022 09:45:00,20.09.2022 09:45:00,2022-09-19 18:00:00
452,BP 110/02 (717231),ZSK 70.8,22010652,6:00,72.8,5.06,23.68,53.81,19.09.2022 09:00:00,20.09.2022 01:00:00,2022-09-20 06:00:00
453,BP 110/02 (717231),ZSK 70.8,22010652,6:00,72.19,5.45,23.51,54.22,19.09.2022 09:00:00,20.09.2022 01:00:00,2022-09-20 06:00:00
454,BP 110/02 (717231),ZSK 70.8,22010702,11:30,73.93,4.71,22.78,51.33,19.09.2022 09:00:00,20.09.2022 01:00:00,2022-09-19 11:30:00
455,BP 110/02 (717231),ZSK 70.8,22010702,18:30,74.67,4.71,22.72,50.87,19.09.2022 09:00:00,20.09.2022 01:00:00,2022-09-19 18:30:00
456,BP 110/02 (717231),ZSK 70.8,22010702,6:00,74.13,5.01,23.1,52.07,19.09.2022 09:45:00,20.09.2022 09:45:00,2022-09-20 06:00:00
457,BP 110/02 (717231),ZSK 70.8,22010702,6:00,74.06,4.77,22.63,51.07,19.09.2022 09:45:00,20.09.2022 09:45:00,2022-09-20 06:00:00
458,BP 110/02 (717231),ZSK 70.8,22010702,9:10,74.24,4.63,22.38,50.41,19.09.2022 09:00:00,20.09.2022 01:00:00,2022-09-19 09:10:00
459,BP 110/02 (717221),ZSK 70.8,22010704,6:00,75.02,4.32,22.27,49.54,19.09.2022 09:00:00,20.09.2022 01:00:00,2022-09-20 06:00:00
460,BP 110/02 (717221),ZSK 70.8,22010704,6:00,73.03,5.37,24.04,54.6,20.09.2022 01:00:00,20.09.2022 16:10:00,2022-09-20 06:00:00
461,BP 110/02 (717231),ZSK 70.8,22010705,10:45,75.07,4.27,22.36,49.62,20.09.2022 01:00:00,20.09.2022 16:10:00,2022-09-20 10:45:00
462,BP 110/02 (717231),ZSK 70.8,22010705,11:05,74.6,4.58,22.74,50.82,20.09.2022 16:10:00,21.09.2022 06:45:00,2022-09-21 11:05:00
463,BP 110/02 (717231),ZSK 70.8,22010705,18:00,74.61,4.47,22.48,50.25,20.09.2022 16:10:00,21.09.2022 06:45:00,2022-09-20 18:00:00
464,BP 110/02 (717231),ZSK 70.8,22010705,6:15,74.74,4.55,22.63,50.52,20.09.2022 16:10:00,21.09.2022 06:45:00,2022-09-21 06:15:00
465,BP 110/02 (717231),ZSK 70.8,22010705,6:00,75.19,4.34,22.41,49.72,20.09.2022 16:10:00,21.09.2022 06:45:00,2022-09-21 06:00:00
466,BP 110/02 (717231),ZSK 70.9,22010748,18:00,73.55,5.09,24.3,54.51,22.09.2022 09:45:00,21.09.2022 11:00:00,2022-09-22 18:00:00
467,BP 110/02 (7172231),ZSK 70.5,22010750,6:00,74.83,4.64,23.62,52.26,21.09.2022 06:45:00,22.09.2022 07:00:00,2022-09-22 06:00:00
468,BP 110/02 (717231),ZSK 70.4,22010749,18:00,76.79,3.37,22.09,47.52,21.09.2022 06:45:00,22.09.2022 11:45:00,2022-09-21 18:00:00
469,BP 110/02 (717231),ZSK 70.9,22010749,18:00,75.01,4.58,23.36,51.68,21.09.2022 11:00:00,21.09.2022 09:40:00,2022-09-21 18:00:00
470,BP 110/02 (717231),ZSK 70.8,22010707,18:00,75.88,4.15,22.34,49.09,21.09.2022 11:00:00,21.09.2022 09:40:00,2022-09-21 18:00:00
471,BP 110/02 (717231),ZSK 70.8,22010707,6:00,75.82,4.18,22.28,49.06,23.09.2022 06:05:00,23.09.2022 21:45:00,2022-09-23 06:00:00
472,BP 110/02 (717231),ZSK 70.8,22010707,9:00,75.38,4.38,22.33,49.54,23.09.2022 06:05:00,23.09.2022 21:45:00,2022-09-23 09:00:00
473,BP 110/02 (717231),ZSK 70.4,22010751,6:00,77.23,3.21,22.13,47.24,22.09.2022 09:45:00,23.09.2022 13:00:00,2022-09-23 06:00:00
474,BP 110/02 (717231),ZSK 70.9,22010751,6:00,75.88,4.12,22.53,49.39,22.09.2022 09:45:00,23.09.2022 13:00:00,2022-09-23 06:00:00
475,BP 110/02 (717231),ZSK 70.4,22010750,18:00,76.74,3.43,21.56,46.69,22.09.2022 08:30:00,23.09.2022 06:05:00,2022-09-22 18:00:00
476,BP 110/02 (717231),ZSK 70.9,22010750,18:00,75.11,4.26,23.0,50.71,26.09.2022 06:30:00,27.09.2022 07:00:00,2022-09-26 18:00:00
477,BP 110/02 (717231),ZSK 70.4,22010754,18:00,76.83,3.33,21.19,45.91,26.09.2022 06:30:00,27.09.2022 07:00:00,2022-09-26 18:00:00
478,BP 110/02 (717231),ZSK 70.9,22010754,18:00,75.71,4.0,22.92,50.04,26.09.2022 06:30:00,27.09.2022 07:00:00,2022-09-26 18:00:00
479,BP 110/02 (717231),ZSK 70.8,22010708,7:30,74.05,4.88,23.06,51.93,26.09.2022 06:30:00,27.09.2022 07:00:00,2022-09-26 07:30:00
480,BP 110/02 (717231),ZSK 70.8,22010708,6:00,73.46,5.18,23.87,53.91,27.09.2022 06:30:00,28.09.2022 13:00:00,2022-09-28 06:00:00
481,BP 110/02 (717221),ZSK 70.8,22010709,18:00,73.42,5.14,23.75,53.7,29.09.2022 12:15:00,30.09.2022 12:40:00,2022-09-29 18:00:00
482,BP 110/02 (717221),ZSK 70.8,22010710,18:00,74.0,4.96,23.23,52.32,29.09.2022 12:15:00,30.09.2022 12:40:00,2022-09-29 18:00:00
483,BP 110/02 (717221),ZSK 70.8,22010710,6:00,73.9,4.97,22.87,51.76,29.09.2022 12:15:00,30.09.2022 12:40:00,2022-09-30 06:00:00
484,BP 110/02 (717221),ZSK 70.8,22010711,13:00,73.32,5.06,23.67,53.53,04.10.2022 10:30:00,05.10.2022 12:15:00,2022-10-04 13:00:00
485,BP 110/02 (717221),ZSK 70.8,22010712,6:20,74.54,4.74,23.11,51.63,04.10.2022 10:30:00,05.10.2022 12:15:00,2022-10-05 06:20:00
486,BP 110/02 (717221),ZSK 70.8,22010712,6:50,74.53,4.75,23.21,51.81,04.10.2022 10:30:00,05.10.2022 12:15:00,2022-10-05 06:50:00
487,BP 110/02 (717221),ZSK 70.8,22010711,18:00,75.13,4.46,22.98,50.86,04.10.2022 10:30:00,05.10.2022 12:15:00,2022-10-04 18:00:00
488,BP 110/02 (717221),ZSK 70.8,22010712,9:44,74.73,4.6,23.05,51.31,04.10.2022 10:30:00,05.10.2022 12:15:00,2022-10-05 09:44:00
489,BP 110/02 (717221),ZSK 70.8,22010713,6:51,75.9,4.2,22.12,48.77,06.10.2022 13:40:00,07.10.2022 15:45:00,2022-10-07 06:51:00
490,BP 110/02 (717221),ZSK 70.8,22010713,10:03,76.0,4.03,21.76,47.93,06.10.2022 13:40:00,07.10.2022 15:45:00,2022-10-07 10:03:00
491,BP 110/02 (717221),ZSK 70.8,22010712,18:15,75.11,4.57,23.29,51.51,10.10.2022 08:15:00,11.10.2022 10:30:00,2022-10-10 18:15:00
492,BP 110/02 (717221),ZSK 70.8,22010713,18:15,73.37,5.31,23.88,54.11,10.10.2022 08:15:00,11.10.2022 10:30:00,2022-10-10 18:15:00
493,BP 110/02 (717221),ZSK 70.8,22010714,8:20,74.39,5.0,23.02,51.82,10.10.2022 08:15:00,11.10.2022 10:30:00,2022-10-10 08:20:00
494,BP 110/02 (717221),ZSK 70.8,22010714,9:30,75.01,4.3,21.76,48.65,10.10.2022 08:15:00,11.10.2022 10:30:00,2022-10-10 09:30:00
495,BP 110/02 (717221),ZSK 70.8,22010714,18:21,75.93,4.16,22.27,48.97,10.10.2022 08:15:00,11.10.2022 10:30:00,2022-10-10 18:21:00
496,BP 110/02 (717221),ZSK 70.8,22010766,19:19,76.03,4.07,21.88,48.15,13.10.2022 01:40:00,13.10.2022 20:50:00,2022-10-13 19:19:00
497,BP 110/02 (717221),ZSK 70.8,22010766,18:00,77.07,3.59,20.71,45.22,12.10.2022 07:00:00,13.10.2022 01:40:00,2022-10-12 18:00:00
