,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time,Temperatures_Reg02_Sps_Istwert,Temperatures_Reg03_Sps_Istwert,Temperatures_Reg04_Sps_Istwert,Temperatures_Reg05_Sps_Istwert,Temperatures_Reg06_Sps_Istwert,Temperatures_Reg07_Sps_Istwert,Temperatures_Reg08_Sps_Istwert,Temperatures_Reg09_Sps_Istwert,Temperatures_Reg10_Sps_Istwert,Temperatures_Reg11_Sps_Istwert,Temperatures_Reg12_Sps_Istwert,Temperatures_Reg13_Sps_Istwert,Temperatures_Reg14_Sps_Istwert,Temperatures_Reg15_Sps_Istwert,Temperatures_Reg02_Pc_Sollwert,Temperatures_Reg03_Pc_Sollwert,Temperatures_Reg04_Pc_Sollwert,Temperatures_Reg05_Pc_Sollwert,Temperatures_Reg06_Pc_Sollwert,Temperatures_Reg07_Pc_Sollwert,Temperatures_Reg08_Pc_Sollwert,Temperatures_Reg09_Pc_Sollwert,Temperatures_Reg10_Pc_Sollwert,Temperatures_Reg11_Pc_Sollwert,Temperatures_Reg12_Pc_Sollwert,Temperatures_Reg13_Pc_Sollwert,Temperatures_Reg14_Pc_Sollwert,Temperatures_Reg15_Pc_Sollwert,Feeder_DosSum_Sps_Durchsatz_Istwert,Feeder_DosSum_Pc_Durchsatz_Sollwert,Feeder_Dos01_Sps_Durchsatz_Istwert,Feeder_Dos02_Sps_Durchsatz_Istwert,Feeder_Dos03_Sps_Durchsatz_Istwert,Feeder_Dos04_Sps_Durchsatz_Istwert,Feeder_Dos05_Sps_Durchsatz_Istwert,Feeder_Dos06_Sps_Durchsatz_Istwert,Feeder_Dos07_Sps_Durchsatz_Istwert,Feeder_Dos08_Sps_Durchsatz_Istwert,Feeder_Dos01_Pc_Durchsatz_Sollwert,Feeder_Dos02_Pc_Durchsatz_Sollwert,Feeder_Dos03_Pc_Durchsatz_Sollwert,Feeder_Dos04_Pc_Durchsatz_Sollwert,Feeder_Dos05_Pc_Durchsatz_Sollwert,Feeder_Dos06_Pc_Durchsatz_Sollwert,Feeder_Dos07_Pc_Durchsatz_Sollwert,Feeder_Dos08_Pc_Durchsatz_Sollwert,Misc_Hat_Sps_Drehzahl_Istwert,Misc_Hat_Pc_Drehzahl_Sollwert,Misc_Hat_Sps_Drehmoment_Istwert,Temperatures_AE_Materialtemperatur01,Temperatures_AE_Materialtemperatur02,Misc_Mtd01_Sps_Istwert,Feeder_Dos01_Sps_MotorStellwert,Feeder_Dos02_Sps_MotorStellwert,Feeder_Dos03_Sps_MotorStellwert,Feeder_Dos04_Sps_MotorStellwert,Feeder_Dos05_Sps_MotorStellwert,Feeder_Dos06_Sps_MotorStellwert,Feeder_Dos07_Sps_MotorStellwert,Feeder_Dos08_Sps_MotorStellwert,Feeder_Dos01_Sps_Dosierfaktor,Feeder_Dos02_Sps_Dosierfaktor,Feeder_Dos03_Sps_Dosierfaktor,Feeder_Dos04_Sps_Dosierfaktor,Feeder_Dos05_Sps_Dosierfaktor,Feeder_Dos06_Sps_Dosierfaktor,Feeder_Dos07_Sps_Dosierfaktor,Feeder_Dos08_Sps_Dosierfaktor,Feeder_Dos01_Sps_MotorDrehzahl,Feeder_Dos02_Sps_MotorDrehzahl,Feeder_Dos03_Sps_MotorDrehzahl,Feeder_Dos04_Sps_MotorDrehzahl,Feeder_Dos05_Sps_MotorDrehzahl,Feeder_Dos06_Sps_MotorDrehzahl,Feeder_Dos07_Sps_MotorDrehzahl,Feeder_Dos08_Sps_MotorDrehzahl,Feeder_Dos01_Sps_Nettogewicht,Feeder_Dos02_Sps_Nettogewicht,Feeder_Dos03_Sps_Nettogewicht,Feeder_Dos04_Sps_Nettogewicht,Feeder_Dos05_Sps_Nettogewicht,Feeder_Dos06_Sps_Nettogewicht,Feeder_Dos07_Sps_Nettogewicht,Feeder_Dos08_Sps_Nettogewicht
546,BP 110/02 (717221),ZSK 70.4,22010845,6:43,77.12,3.15,19.62,42.85,21.11.2022 09:00:00,21.11.2022 20:15:00,11/21/2022 6:43,184.7846154,185.0043956,170.0098901,144.8967033,145.0164835,144.9945055,164.9956044,155.067033,99.49120879,149.8021978,147.2604396,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,0,800.000061,0,0,0,0,0,0,0,0,480.7999878,0,309.6000061,6.400000095,0,3.200000048,0,0,-149.8142857,205,777.7,24.97692308,147.7296703,4.4,0,0,0,0,0,0,0,0,969.7250977,571.1392822,546.5064697,51.10230255,21.76910782,6.945942879,250,96.19335938,0,0,0,0,0,0,0,0,50.66353959,17.43563558,57.07986316,16.25037082,20.22791496,10.21924432,0,0
547,BP 110/02 (717221),ZSK 70.5,22010845,6:43,75.89,3.52,21.09,46.31,21.11.2022 09:00:00,21.11.2022 20:15:00,11/21/2022 6:43,184.7802083,184.9760417,169.9135417,145.0677083,144.9770833,145.0322917,167.1635417,154.9958333,99.17916667,149.8645833,147.234375,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,0,800.000061,0,0,0,0,0,0,0,0,480.7999878,0,309.6000061,6.400000095,0,3.200000048,0,0,-149.7333333,175,777.7,170.3625,149.5208333,3.4,0,0,0,0,0,0,0,0,733.9805908,375.5396118,578.3635254,61.51352692,48.83092499,12.90772247,94.3487854,65.54180908,0,0,0,0,0,0,0,0,44.75009958,49.76624703,57.84541925,18.54385583,23.44137295,10.33407567,0,0
548,BP 110/02 (717221),ZSK 70.9,22010845,6:44,75.29,4.16,22.58,49.8,23.11.2022 00:45:00,24.11.2022 07:40:00,11/23/2022 6:44,184.9598596,184.927465,169.9049296,145.1697186,144.9725359,144.7760565,164.9380283,154.4288735,99.96056312,181.4492927,169.330987,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,807.9800978,807.999939,480.796175,0,314.3793391,3.20045745,0,1.6001493,0,7.996982094,480.7999878,0,314.3999939,3.200000286,0,1.600000143,0,7.999999523,359.851504,360,84.52323806,22.55915516,212.8154929,24.42521878,47.72496237,0,54.14298718,4.246629728,0,4.684409424,0,22.76866687,1007.490821,1177.522949,580.7742602,75.36570734,45.58484268,34.19317485,37.6777153,35.21199637,1431.225352,0,1623.78169,127,0,140.0633803,0,682.584507,54.91192495,55.81636093,42.29966405,20.3109587,27.8867126,10.17766243,0,44.47375572
549,BP 110/02 (717221),ZSK 70.9,22010846,18:00,75.86,3.98,22.94,49.98,24.11.2022 03:00:00,24.11.2022 14:00:00,11/24/2022 18:00,184.8876711,185.0294519,169.8246584,145.0020545,144.9239725,144.6130137,165.0301367,154.7000001,99.94520569,178.2904078,166.6636992,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,808.0125544,808.000061,480.8010225,0,309.6087753,6.40393522,0,3.200233035,0,8.000590514,480.7999878,0,309.6000061,6.400000095,0,3.200000048,0,7.999999523,359.8516595,360,83.38136438,22.81917831,210.082877,23.1718809,47.70322826,0,52.85179347,8.517513471,0,8.185955773,0,22.61548786,1008.063659,1177.522949,585.7986342,75.01019627,45.58484268,39.13032485,37.6777153,35.3653183,1430.616438,0,1585.041096,255.0273973,0,245.0273973,0,677.9383562,55.08217391,55.82731056,42.78470755,16.6416789,27.72918649,7.867472965,0,28.24780277
550,BP 110/02 (717221),ZSK 70.8,22010832,6:54,75.3,4.15,22.2,49.12,24.11.2022 03:00:00,24.11.2022 14:00:00,11/24/2022 6:54,179.2118645,170.0152539,154.9644067,144.9966107,145.5601697,145.0432203,130.7381358,140.0847464,90.99237287,18.72711885,19.98135586,0,0,0,180,170,155,145,145,145,130,140,90,18,18,0,0,0,1208.249377,1208.199951,721.2026238,0,464.4309537,9.59934018,8.200529454,0,4.797814842,0,721.2000122,0,464.3999939,9.600000381,8.199999809,0,4.800000191,0,534.9392131,535,89.58407127,181.0398304,19.17627186,0.340111033,67.93209477,0,65.75652307,14.6568686,12.98052983,0,31.57554668,0,1061.863565,574.2153931,708.9464861,65.56759676,63.19462637,8.568288803,15.23837767,0,2037.449153,0,1972.067797,439.1694915,388.8559322,0,946.9067797,0,51.91417199,-1.779000044,58.25975696,18.49856023,29.37930645,0.020915256,8.685246136,0
551,BP 110/02 (717221),ZSK 70.4,22010847,6:56,77.57,3.03,20.18,43.56,24.11.2022 03:00:00,24.11.2022 14:00:00,11/24/2022 6:56,185.0925,184.93375,170,145.01,145.18,144.86125,165.12875,155.00375,99.99875,164.21375,148.52875,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9952515,800.000061,480.8149155,0,309.5917847,6.398757792,0,3.198593783,0,0,480.7999878,0,309.6000061,6.400000095,0,3.200000048,0,0,359.42375,360,74.0475,29.08875,211.6975,5,48.52699795,0,51.39949875,8.05449959,0,57.54049797,0,0,989.5960892,571.1392822,602.747374,79.01944485,21.76910782,5.554837143,250,96.19335938,1454.925,0,1541.3875,241.8,0,1726.2625,0,0,46.90635948,17.43210373,52.26881027,12.28030877,19.63621755,6.994643188,0,0
552,BP 110/02 (717221),ZSK 70.5,22010847,6:56,76.92,3.34,20.99,45.53,23.11.2022 00:45:00,24.11.2022 07:40:00,11/23/2022 6:56,184.9391304,185.026087,170.0173913,145.1663043,144.9576087,145.0413043,194.2445652,159.4782609,99.95,173.9967391,155.6717391,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,800.0224264,799.999939,480.7958825,0,314.4020173,3.199965379,0,1.599488906,0,0,480.7999878,0,314.3999939,3.200000048,0,1.600000024,0,0,358.351087,360,76.25217391,199.6673913,173.8804348,3.695652174,66.2926047,0,50.61804149,5.446086759,0,11.72717349,0,0,726.2664782,375.5396118,621.4219891,58.6202007,48.83092499,13.59057518,94.3487854,65.54180908,1987.771739,0,1517.641304,338.2391304,0,351.4782609,0,0,47.35444343,50.30080903,53.88069849,16.44716619,23.0613021,9.433780193,0,0
553,BP 110/02 (717221),ZSK 70.9,22010847,6:57,75.6,4.11,22.98,50.29,23.11.2022 00:45:00,24.11.2022 07:40:00,11/23/2022 6:57,185.0937073,184.8664336,169.8524483,145.0468532,144.9496507,144.6069926,164.8188808,154.5706292,100.018182,181.5853147,169.5573462,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,807.9878263,807.999939,480.8122635,0,314.3678892,3.200633638,0,1.60024126,0,8.00150904,480.7999878,0,314.3999939,3.200000286,0,1.600000143,0,7.999999523,359.8608911,360,84.52409651,22.69090954,212.9517477,24.50911353,47.74407479,0,54.2038487,4.227273081,0,4.659180998,0,22.54367611,1006.944837,1177.522949,580.1244221,75.71067725,45.58484268,34.3100256,37.6777153,35.46370958,1431.79021,0,1625.58042,126.4055944,0,139.3076923,0,675.8251748,55.35301662,55.81950578,42.23457539,19.61818966,27.88332993,9.830832608,0,42.74055444
554,BP 110/02 (717221),ZSK 70.8,22010831,18:00,76.38,3.69,21.4,46.8,23.11.2022 00:45:00,24.11.2022 07:40:00,11/23/2022 18:00,179.8305973,169.8753735,155.0761189,144.8843287,145.5529858,145.187313,130.6738808,139.9044775,90.94029851,14.79552241,15.10895521,0,0,0,180,170,155,145,145,145,130,140,90,18,18,0,0,0,1208.379821,1208.199951,721.2074617,0,464.5853996,9.600795582,8.201513675,0,4.800587423,0,721.2000122,0,464.3999939,9.600000381,8.199999809,0,4.800000191,0,534.9374344,535,89.77065357,181.217164,15.31417911,0.326870424,69.52634401,0,65.08465161,13.72926704,13.13772239,0,31.33998556,0,1036.908727,574.2153931,714.0620559,69.91759645,62.36801022,8.568288803,15.28180481,0,2085.30597,0,1951.985075,411.4253731,393.6343284,0,939.7910448,0,52.45739049,-1.779000044,58.35732366,17.9071054,32.09514325,-0.002708955,7.863231691,0
555,BP 110/02 (717221),ZSK 70.4,23100005,10:10,76.42,3.81,20.4,45.16,24.11.2022 07:40:00,25.11.2022 10:00:00,11/24/2022 10:10,184.9691358,184.837037,169.9876543,145.0320988,145.2111111,145.0111111,165.0814815,155.0012346,99.97160494,164.5160494,149.6703704,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9660351,800.000061,480.7946077,0,309.5844508,6.398133478,0,3.197522929,0,0,480.7999878,0,309.6000061,6.400000095,0,3.200000048,0,0,359.5283951,360,73.74444444,29.39012346,211.8345679,5,49.49826963,0,51.63999864,7.775555411,0,56.6607391,0,0,971.0876811,571.1392822,600.2566913,80.75815761,21.76910782,5.62456934,250,96.19335938,1484.54321,0,1548.728395,233.4444444,0,1698.888889,0,0,47.25618235,17.39459911,53.07774824,15.71020663,19.60247558,10.01215603,0,0
556,BP 110/02 (717221),ZSK 70.5,23100005,10:10,76.11,3.48,20.63,45.38,24.11.2022 07:40:00,25.11.2022 10:00:00,11/24/2022 10:10,185.0318681,185.0736264,170.0087912,145.1648352,144.9835165,144.956044,183.9428571,155.0274725,99.95604396,171.5967033,153.9043956,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9993038,800,480.7989904,0,309.5721798,6.399150838,0,3.200684023,0,0,480.7999573,0,309.6000366,6.400000572,0,3.200000286,0,0,358.0758242,360,75.72857143,199.4263736,171.3736264,3.834065934,65.58680826,0,50.01494271,8.856922757,0,23.35274636,0,0,733.3017632,375.5396118,620.3983181,71.83069334,48.83092499,13.83969477,94.3487854,65.54180908,1966.505495,0,1499.791209,549.2967033,0,700.1208791,0,0,47.5408975,50.71763552,52.38841097,8.46844822,22.75578216,5.223232856,0,0
557,BP 110/02 (717221),ZSK 70.4,23010005,18:00,77.28,3.12,19.29,42.17,25.11.2022 10:00:00,26.11.2022 03:00:00,11/25/2022 18:00,185.0049383,184.9604938,190.8197531,144.9469136,144.9617284,144.9925926,165.1604938,155.0518519,99.99753086,166.5567901,150.8407407,0,0,0,185,185,170,145,145,145,165,155,100,150,138,0,0,0,800.0089224,800.000061,480.7949565,0,309.6337951,6.402039704,0,3.20181162,0,0,480.7999878,0,309.6000061,6.400000572,0,3.200000286,0,0,359.0308642,360,74.22345679,27.71728395,212.2740741,4.955555556,49.87999848,0,51.16987506,8.570863582,0,64.03999734,0,0,964.2656295,571.1392822,605.1706905,74.16477232,21.76910782,5.008742015,250,96.19335938,1495.62963,0,1534.395062,257.4320988,0,1919.839506,0,0,47.36516976,17.39618711,52.82425737,17.29988701,19.28957362,9.624056169,0,0
558,BP 110/02 (717221),ZSK 70.5,23010005,18:00,76.28,3.48,21.33,46.54,25.11.2022 10:00:00,26.11.2022 03:00:00,11/25/2022 18:00,184.9913043,184.9858696,169.9804348,145.0173913,145.0097826,144.9793478,183.1173913,154.1532609,100,170.6206522,153.673913,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9680813,800,480.8028976,0,309.5776606,6.399400151,0,3.200470126,0,0,480.7999573,0,309.6000366,6.400000572,0,3.200000286,0,0,358.2717391,360,76.6173913,199.3532609,170.2521739,3.581521739,66.45477892,0,49.44021557,9.971738732,0,23.07608596,0,0,723.4421108,375.5396118,625.957428,64.04082074,48.83092499,13.834466,94.3487854,65.54180908,1992.684783,0,1482.336957,619.3695652,0,691.8913043,0,0,47.14348063,50.72922226,53.14192299,18.03574264,22.36401624,9.958378315,0,0
