,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
211,BP 110/02 (717231),ZSK 70.4,22010754,18:00,41,LK,11,3.3,FAIL,76.83,3.33,21.19,2.4,-1.25,-1.9,45.91,"2,40 heller","1,25 weniger rot","1,90 weniger gelb",2.23,753 (15.10.2022 09:41:31)
212,BP 110/02 (717231),ZSK 70.9,22010754,18:00,41,LK,11,1.41,FAIL,75.71,4,22.92,1.28,-0.58,-0.16,50.04,"1,28 heller","0,58 weniger rot","0,16 weniger gelb",1.08,754 (15.10.2022 09:50:04)
213,BP 110/02 (717231),MP,22010754,5:02,41,LK,11,2.25,FAIL,76.42,3.9,22.26,1.98,-0.67,-0.82,48.49,"1,98 heller","0,67 weniger rot","0,82 weniger gelb",1.6,755 (15.10.2022 09:51:06)
214,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 1,42,TP,11,4.06,FAIL,77.48,2.8,21.08,3.05,-1.78,-2.01,44.94,"3,05 heller","1,78 weniger rot","2,01 weniger gelb",2.89,801 (18.10.2022 13:27:59)
215,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 2,42,TP,11,4,FAIL,77.51,3.02,21.05,3.07,-1.56,-2.04,45.08,"3,07 heller","1,56 weniger rot","2,04 weniger gelb",2.79,802 (18.10.2022 13:29:55)
216,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 3,42,TP,11,4.06,FAIL,77.7,3.19,21.12,3.27,-1.38,-1.96,45.29,"3,27 heller","1,38 weniger rot","1,96 weniger gelb",2.81,803 (18.10.2022 13:31:08)
217,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 4,42,TP,11,3.88,FAIL,77.34,2.98,21.06,2.9,-1.59,-2.03,45.13,"2,90 heller","1,59 weniger rot","2,03 weniger gelb",2.71,804 (18.10.2022 13:32:54)
218,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 5,42,TP,11,3.32,FAIL,77.12,3.11,21.82,2.69,-1.46,-1.27,46.66,"2,69 heller","1,46 weniger rot","1,27 weniger gelb",2.43,807 (18.10.2022 15:21:39)
219,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 6,42,TP,11,3.3,FAIL,76.95,3.2,21.46,2.52,-1.38,-1.63,46.2,"2,52 heller","1,38 weniger rot","1,63 weniger gelb",2.33,808 (18.10.2022 15:24:31)
220,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 7,42,TP,11,5.35,FAIL,78.52,2.55,20.29,4.08,-2.03,-2.79,42.92,"4,08 heller","2,03 weniger rot","2,79 weniger gelb",3.71,809 (18.10.2022 15:26:13)
221,BP 110/02 (717221),ZSK 70.9,22010724,NIR Probe 8,42,TP,11,4.83,FAIL,78.07,2.81,20.44,3.64,-1.77,-2.65,43.59,"3,64 heller","1,77 weniger rot","2,65 weniger gelb",3.31,810 (18.10.2022 15:27:53)
