,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
390,BP 110/02 (717221),ZSK 70.8,22010830,9:40,50,LK,11,0.61,PASS,74.71,4.37,22.58,0.27,-0.21,-0.51,50.27,"0,27 heller","0,21 weniger rot","0,51 weniger gelb",0.35,1808 (12.12.2022 12:57:43)
391,BP 110/02 (717221),ZSK 70.8,22010830,11:15 AA,50,LK,11,1.2,FAIL,75.23,4.22,22.26,0.79,-0.36,-0.82,49.34,"0,79 heller","0,36 weniger rot","0,82 weniger gelb",0.75,1809 (12.12.2022 12:59:08)
392,BP 110/02 (717221),ZSK 70.9,22010841,12:39,50,LK,11,5.72,FAIL,78.36,2.89,19.29,3.93,-1.69,-3.8,41.52,"3,93 heller","1,69 weniger rot","3,80 weniger gelb",3.68,1812 (12.12.2022 15:01:30)
393,BP 110/02 (717221),ZSK 70.8,22010830,14:15,50,LK,11,0.62,PASS,74.7,4.47,22.54,0.26,-0.11,-0.55,50.3,"0,26 heller","0,11 weniger rot","0,55 weniger gelb",0.34,1813 (12.12.2022 15:02:45)
394,BP 110/02 (717221),MP,22010842,7:10,50,LK,11,4.38,FAIL,77.5,3.22,20.26,3.06,-1.36,-2.82,43.9,"3,06 heller","1,36 weniger rot","2,82 weniger gelb",2.84,1814 (13.12.2022 07:57:21)
395,BP 110/02 (717221),ZSK 70.8,22010831,06:00 AA,50,LK,11,0.78,PASS,75.08,4.43,22.68,0.64,-0.15,-0.41,50.32,"0,64 heller","0,15 weniger rot","0,41 weniger gelb",0.52,1822 (13.12.2022 08:47:10)
396,BP 110/02 (717221),ZSK 70.8,22010831,7:00,50,LK,11,1.27,FAIL,75.1,4.26,22.05,0.66,-0.32,-1.04,49.06,"0,66 heller","0,32 weniger rot","1,04 weniger gelb",0.73,1823 (13.12.2022 08:48:08)
397,BP 110/02 (717221),ZSK 70.8,22010830 1-22 AA,4:46,50,Trainee,11,1.23,FAIL,75.2,4.21,22.2,0.76,-0.36,-0.89,49.23,"0,76 heller","0,36 weniger rot","0,89 weniger gelb",0.75,1825 (13.12.2022 08:59:09)
398,BP 110/02 (717221),ZSK 70.8,22010830 AA,21:30,50,Trainee,11,0.96,Warnung,75.23,4.28,22.64,0.8,-0.29,-0.44,50.06,"0,80 heller","0,29 weniger rot","0,44 weniger gelb",0.67,1826 (13.12.2022 09:00:30)
399,BP 110/02 (717221),ZSK 70.4,22010843,7:02,50,Trainee,11,4.8,FAIL,77.16,3.41,19.31,2.72,-1.16,-3.77,42.54,"2,72 heller","1,16 weniger rot","3,77 weniger gelb",2.86,1834 (13.12.2022 10:28:24)
400,BP 110/02 (717221),ZSK 70.5,22010843,7:03,50,Trainee,11,3.15,FAIL,76.41,3.71,20.79,1.97,-0.87,-2.29,45.76,"1,97 heller","0,87 weniger rot","2,29 weniger gelb",1.94,1835 (13.12.2022 10:30:13)
401,BP 110/02 (717221),ZSK 70.4,22010841,18:00,50,LK,11,5.66,FAIL,77.91,2.73,19.02,3.48,-1.84,-4.06,41.1,"3,48 heller","1,84 weniger rot","4,06 weniger gelb",3.58,1836 (13.12.2022 10:40:44)
402,BP 110/02 (717221),ZSK 70.5,22010841,18:00,50,LK,11,3.1,FAIL,76.63,3.37,21.26,2.19,-1.21,-1.83,46.15,"2,19 heller","1,21 weniger rot","1,83 weniger gelb",2.09,1837 (13.12.2022 10:41:58)
403,BP 110/02 (717221),ZSK 70.9,22010841,18:00,50,LK,11,3.52,FAIL,77.37,3.4,21.54,2.94,-1.18,-1.54,46.35,"2,94 heller","1,18 weniger rot","1,54 weniger gelb",2.47,1838 (13.12.2022 10:43:03)
404,BP 110/02 (717221),MP,22010841,20:48,50,LK,11,3.3,FAIL,76.72,3.4,21.02,2.29,-1.18,-2.06,45.73,"2,29 heller","1,18 weniger rot","2,06 weniger gelb",2.17,1839 (13.12.2022 10:44:06)
405,BP 110/02 (717221),ZSK 70.9,22010843,11:19,50,LK,11,4.46,FAIL,77.76,3.13,20.5,3.33,-1.45,-2.59,44.12,"3,33 heller","1,45 weniger rot","2,59 weniger gelb",2.98,1843 (13.12.2022 13:35:54)
406,BP 110/02 (717221),ZSK 70.8,22010831,18:00,50,LK,11,0.74,Warnung,74.43,4.51,22.35,0,-0.07,-0.74,50.14,"0,00 dunkler","0,07 weniger rot","0,74 weniger gelb",0.37,1846 (14.12.2022 06:56:59)
407,BP 110/02 (717221),ZSK 70.8,22010831,18:00 AA,50,LK,11,0.98,FAIL,74.62,4.5,22.12,0.19,-0.08,-0.96,49.65,"0,19 heller","0,08 weniger rot","0,96 weniger gelb",0.5,1847 (14.12.2022 06:58:07)
408,BP 110/02 (717221),MP,22010843,18:22,50,LK,11,4.9,FAIL,77.42,3.09,19.49,2.99,-1.49,-3.59,42.45,"2,99 heller","1,49 weniger rot","3,59 weniger gelb",3.05,1852 (14.12.2022 07:05:08)
409,BP 110/02 (717221),ZSK 70.8,22010831,8:14,50,Trainee,11,1.06,FAIL,74.77,4.29,22.13,0.34,-0.29,-0.96,49.38,"0,34 heller","0,29 weniger rot","0,96 weniger gelb",0.56,1853 (14.12.2022 09:21:45)
410,BP 110/02 (717221),ZSK 70.4,22010844,18:00,50,LK,11,4.58,FAIL,77.34,3.17,19.83,2.91,-1.41,-3.25,43.16,"2,91 heller","1,41 weniger rot","3,25 weniger gelb",2.88,1868 (14.12.2022 11:48:49)
411,BP 110/02 (717221),ZSK 70.5,22010844,18:00,50,LK,11,2.7,FAIL,76.42,3.61,21.54,1.99,-0.97,-1.54,46.96,"1,99 heller","0,97 weniger rot","1,54 weniger gelb",1.82,1869 (14.12.2022 11:52:11)
412,BP 110/02 (717221),ZSK 70.9,22010844,18:00,50,LK,11,0.88,Warnung,73.61,4.75,23.35,-0.83,0.18,0.26,52.52,"0,83 dunkler","0,18 röter","0,26 gelber",0.64,1870 (14.12.2022 11:53:01)
413,BP 110/02 (717221),ZSK 70.4,22010845,6:43,50,LK,11,4.61,FAIL,77.12,3.15,19.62,2.69,-1.43,-3.47,42.85,"2,69 heller","1,43 weniger rot","3,47 weniger gelb",2.84,1876 (14.12.2022 12:13:52)
414,BP 110/02 (717221),ZSK 70.5,22010845,6:43,50,LK,11,2.69,FAIL,75.89,3.52,21.09,1.45,-1.06,-2,46.31,"1,45 heller","1,06 weniger rot","2,00 weniger gelb",1.68,1877 (14.12.2022 12:14:44)
415,BP 110/02 (717221),ZSK 70.9,22010845,6:44,50,LK,11,1.08,FAIL,75.29,4.16,22.58,0.86,-0.42,-0.5,49.8,"0,86 heller","0,42 weniger rot","0,50 weniger gelb",0.76,1878 (14.12.2022 12:15:34)
416,BP 110/02 (717221),ZSK 70.5,22010846,18:00,50,LK,11,2.72,FAIL,76.14,3.68,21.16,1.71,-0.89,-1.93,46.49,"1,71 heller","0,89 weniger rot","1,93 weniger gelb",1.71,1888 (15.12.2022 08:18:20)
417,BP 110/02 (717221),ZSK 70.9,22010846,18:00,50,LK,11,1.55,FAIL,75.86,3.98,22.94,1.43,-0.6,-0.14,49.98,"1,43 heller","0,60 weniger rot","0,14 weniger gelb",1.19,1889 (15.12.2022 08:19:35)
418,BP 110/02 (717221),MP,22010846,3:44,50,LK,11,1.76,FAIL,75.77,3.98,22.11,1.33,-0.6,-0.98,48.59,"1,33 heller","0,60 weniger rot","0,98 weniger gelb",1.18,1890 (15.12.2022 08:20:47)
419,BP 110/02 (717221),ZSK 70.8,22010832,6:54,50,LK,11,1.31,FAIL,75.3,4.15,22.2,0.86,-0.43,-0.89,49.12,"0,86 heller","0,43 weniger rot","0,89 weniger gelb",0.83,1891 (15.12.2022 08:22:23)
420,BP 110/02 (717221),ZSK 70.4,22010847,6:56,50,LK,11,4.54,FAIL,77.57,3.03,20.18,3.13,-1.55,-2.9,43.56,"3,13 heller","1,55 weniger rot","2,90 weniger gelb",2.98,1892 (15.12.2022 08:32:28)
421,BP 110/02 (717221),ZSK 70.5,22010847,6:56,50,LK,11,3.48,FAIL,76.92,3.34,20.99,2.48,-1.24,-2.1,45.53,"2,48 heller","1,24 weniger rot","2,10 weniger gelb",2.31,1893 (15.12.2022 09:47:27)
422,BP 110/02 (717221),ZSK 70.9,22010847,6:57,50,LK,11,1.26,FAIL,75.6,4.11,22.98,1.16,-0.47,-0.11,50.29,"1,16 heller","0,47 weniger rot","0,11 weniger gelb",0.96,1894 (15.12.2022 09:48:36)
423,BP 610 (616021),ZSK 70.2,22150047,6:55,50,LK,11,9.05,FAIL,66.03,7.8,22.16,-8.41,3.22,-0.93,57.72,"8,41 dunkler","3,22 röter","0,93 weniger gelb",7.25,1895 (15.12.2022 09:49:59)
424,BP 110/02 (717221),MP,22010845 1-22 AA,17:17,50,Trainee,11,4.06,FAIL,77.07,3.4,20.23,2.64,-1.18,-2.85,44.2,"2,64 heller","1,18 weniger rot","2,85 weniger gelb",2.55,1899 (15.12.2022 10:43:46)
425,BP 110/02 (717221),ZSK 70.8,22010831 AA,18:00,50,Trainee,11,2.84,FAIL,76.21,3.59,21.11,1.78,-0.99,-1.98,46.28,"1,78 heller","0,99 weniger rot","1,98 weniger gelb",1.8,1910 (15.12.2022 11:39:14)
426,BP 110/02 (717221),ZSK 70.8,22010831,18:00,50,Trainee,11,2.73,FAIL,76.38,3.69,21.4,1.95,-0.89,-1.69,46.8,"1,95 heller","0,89 weniger rot","1,69 weniger gelb",1.79,1911 (15.12.2022 11:40:23)
427,BP 110/02 (717221),MP,22010831 1-22 AA,7:23,50,Trainee,11,0.68,PASS,74.66,4.45,22.46,0.23,-0.13,-0.63,50.17,"0,23 heller","0,13 weniger rot","0,63 weniger gelb",0.36,1913 (15.12.2022 12:38:26)
428,BP 110/02 (717221),MP,22010848,2:09,50,LK,11,3.22,FAIL,76.63,3.47,21.01,2.19,-1.11,-2.08,45.81,"2,19 heller","1,11 weniger rot","2,08 weniger gelb",2.1,1920 (19.12.2022 10:53:50)
429,BP 110/02 (717221),MP,22010847,13:03,50,LK,11,3.36,FAIL,76.8,3.45,20.98,2.37,-1.13,-2.1,45.67,"2,37 heller","1,13 weniger rot","2,10 weniger gelb",2.2,1921 (19.12.2022 10:54:58)
430,BP 110/02 (717221),ZSK 70.8,22010832,18:00 AA,50,LK,11,2.52,FAIL,76.16,3.72,21.45,1.72,-0.86,-1.63,47.03,"1,72 heller","0,86 weniger rot","1,63 weniger gelb",1.64,1922 (19.12.2022 10:56:23)
431,BP 110/02 (717221),MP,22010832,1:40,50,LK,11,2.06,FAIL,75.88,3.93,21.76,1.45,-0.64,-1.32,47.9,"1,45 heller","0,64 weniger rot","1,32 weniger gelb",1.33,1923 (19.12.2022 10:57:22)
432,BP 110/02 (717221),ZSK 70.4,23100005,10:10,1,SK,11,3.42,FAIL,76.42,3.81,20.4,1.98,-0.76,-2.68,45.16,"1,98 heller","0,76 weniger rot","2,68 weniger gelb",2.03,1927 (02.01.2023 10:36:20)
433,BP 110/02 (717221),ZSK 70.5,23100005,10:10,1,SK,11,3.17,FAIL,76.11,3.48,20.63,1.67,-1.09,-2.45,45.38,"1,67 heller","1,09 weniger rot","2,45 weniger gelb",1.92,1928 (02.01.2023 10:38:12)
434,BP 110/02 (717221),ZSK 70.9,23100005,10:33,1,SK,11,3.37,FAIL,76.6,3.43,20.78,2.17,-1.15,-2.31,45.39,"2,17 heller","1,15 weniger rot","2,31 weniger gelb",2.15,1929 (02.01.2023 10:40:42)
435,BP 110/02 (717221),ZSK 70.4+5+9,23010006,6:45,1,JH,11,3.17,FAIL,76.08,3.62,20.55,1.64,-0.96,-2.54,45.38,"1,64 heller","0,96 weniger rot","2,54 weniger gelb",1.88,1935 (03.01.2023 07:16:22)
436,BP 110/02 (717221),ZSK 70.4,23010005,18:00,1,JH,11,4.97,FAIL,77.28,3.12,19.29,2.85,-1.46,-3.8,42.17,"2,85 heller","1,46 weniger rot","3,80 weniger gelb",3.03,1936 (03.01.2023 07:18:09)
437,BP 110/02 (717221),ZSK 70.5,23010005,18:00,1,JH,11,2.77,FAIL,76.28,3.48,21.33,1.84,-1.1,-1.75,46.54,"1,84 heller","1,10 weniger rot","1,75 weniger gelb",1.84,1937 (03.01.2023 07:20:43)
438,BP 110/02 (717221),ZSK 70.9,23010005,18:00,1,JH,11,1.2,FAIL,74.62,4.1,22,0.19,-0.48,-1.08,49.05,"0,19 heller","0,48 weniger rot","1,08 weniger gelb",0.65,1938 (03.01.2023 07:21:55)
439,BP 110/02 (717221),ZSK 70.4+5+9,23010005,20:44,1,JH,11,4.03,FAIL,76.88,3.21,20.19,2.44,-1.36,-2.9,44.02,"2,44 heller","1,36 weniger rot","2,90 weniger gelb",2.53,1939 (03.01.2023 07:23:03)
440,BP 110/02 (717221),ZSK 70.4,23010007,6:43,1,JH,11,3.76,FAIL,76.35,3.45,20.05,1.91,-1.13,-3.04,44.22,"1,91 heller","1,13 weniger rot","3,04 weniger gelb",2.22,1941 (03.01.2023 07:28:53)
441,BP 110/02 (717221),ZSK 70.5,23010007,6:43,1,JH,11,2.31,FAIL,75.83,3.59,21.52,1.39,-0.98,-1.56,47.18,"1,39 heller","0,98 weniger rot","1,56 weniger gelb",1.51,1942 (03.01.2023 07:29:52)
442,BP 110/02 (717221),ZSK 70.9,23010007,6:44,1,JH,11,3.26,FAIL,76.91,3.28,21.4,2.48,-1.3,-1.69,46.19,"2,48 heller","1,30 weniger rot","1,69 weniger gelb",2.27,1943 (03.01.2023 07:30:50)
443,BP 600 (616521),MP,23160000,17:34,1,JH,11,4.69,FAIL,70.06,5.82,21.94,-4.38,1.24,-1.15,52.93,"4,38 dunkler","1,24 röter","1,15 weniger gelb",3.62,1968 (04.01.2023 07:10:19)
444,BP 110/02 (717221),MP,23010007,16:42,1,JH,11,3.3,FAIL,76.75,3.47,21.01,2.32,-1.11,-2.07,45.76,"2,32 heller","1,11 weniger rot","2,07 weniger gelb",2.16,1974 (04.01.2023 07:19:44)
445,BP 110/02 (717221),ZSK 70.4,23010008,18:00,1,JH,11,4.34,FAIL,76.8,3.15,19.74,2.37,-1.42,-3.35,43.2,"2,37 heller","1,42 weniger rot","3,35 weniger gelb",2.65,1975 (04.01.2023 08:06:48)
446,BP 110/02 (717221),ZSK 70.5,23010008,18:00,1,JH,11,1.85,FAIL,74.6,3.86,21.39,0.16,-0.72,-1.7,47.75,"0,16 heller","0,72 weniger rot","1,70 weniger gelb",1,1976 (04.01.2023 08:07:47)
447,BP 110/02 (717221),ZSK 70.9,23010008,18:00,1,JH,11,3.81,FAIL,77.48,3.06,21.38,3.04,-1.52,-1.71,45.7,"3,04 heller","1,52 weniger rot","1,71 weniger gelb",2.71,1977 (04.01.2023 08:08:49)
448,BP 110/02 (717221),MP,23010008,3:05,1,JH,11,3,FAIL,76.38,3.53,21.06,1.94,-1.05,-2.03,46.06,"1,94 heller","1,05 weniger rot","2,03 weniger gelb",1.93,1978 (04.01.2023 08:09:50)
449,BP 800 (880031),ZSK 70.6,23880001,7:12,1,Trainee,11,11.5,FAIL,70.52,3.95,12.29,-3.91,-0.63,-10.8,32,"3,91 dunkler","0,63 weniger rot","10,80 weniger gelb",6.81,1979 (04.01.2023 08:11:45)
450,BP 610 (616021),ZSK 70.2,23150000,7:09,1,JH,11,9.9,FAIL,65.3,7.72,20.9,-9.13,3.14,-2.18,55.71,"9,13 dunkler","3,14 röter","2,18 weniger gelb",7.93,1980 (04.01.2023 08:14:47)
451,BP 110/02 (717221),ZSK 70.4,23010009,7:09,1,JH,11,1.99,FAIL,75.08,3.56,21.49,0.64,-1.02,-1.59,47.43,"0,64 heller","1,02 weniger rot","1,59 weniger gelb",1.24,1982 (04.01.2023 08:19:24)
452,BP 110/02 (717221),ZSK 70.5,23010009,7:11,1,JH,11,0.94,Warnung,74.51,3.95,22.39,0.07,-0.62,-0.7,49.64,"0,07 heller","0,62 weniger rot","0,70 weniger gelb",0.63,1983 (04.01.2023 08:20:34)
453,BP 110/02 (717221),ZSK 70.9,23010009,7:11,1,JH,11,3.57,FAIL,77.41,3.18,21.69,2.97,-1.4,-1.4,46.38,"2,97 heller","1,40 weniger rot","1,40 weniger gelb",2.58,1984 (04.01.2023 08:21:49)
454,BP 110/02 (717221),ZSK 70.8,23010000,6:00,1,JH,11,0.66,PASS,74.71,4.49,22.49,0.28,-0.09,-0.6,50.24,"0,28 heller","0,09 weniger rot","0,60 weniger gelb",0.36,1985 (04.01.2023 08:24:50)
455,BP 110/02 (717221),ZSK 70.8,23010000,7:11,1,JH,11,1.72,FAIL,75.24,4.06,21.65,0.81,-0.52,-1.43,48.12,"0,81 heller","0,52 weniger rot","1,43 weniger gelb",0.99,1986 (04.01.2023 08:26:40)
456,BP 110/02 (717221),MP,23010010,0:37,1,JH,11,3.26,FAIL,76.39,3.5,20.7,1.95,-1.07,-2.38,45.41,"1,95 heller","1,07 weniger rot","2,38 weniger gelb",2.03,1996 (05.01.2023 07:12:04)
457,BP 110/02 (717221),ZSK 70.9,23010010,18:00,1,JH,11,4.47,FAIL,77.82,3.13,20.56,3.39,-1.45,-2.53,44.2,"3,39 heller","1,45 weniger rot","2,53 weniger gelb",3,1997 (05.01.2023 07:14:37)
458,BP 110/02 (717221),ZSK 70.5,23010010,18:00,1,JH,11,1.04,FAIL,73.84,4.26,22.3,-0.6,-0.32,-0.78,50.1,"0,60 dunkler","0,32 weniger rot","0,78 weniger gelb",0.63,1998 (05.01.2023 07:16:40)
459,BP 110/02 (717221),ZSK 70.4,23010010,18:00,1,JH,11,2.61,FAIL,75.89,3.53,21.19,1.46,-1.05,-1.9,46.51,"1,46 heller","1,05 weniger rot","1,90 weniger gelb",1.65,1999 (05.01.2023 07:17:44)
460,BP 110/02 (717221),ZSK 70.8,23010000,20:23,1,JH,11,0.97,FAIL,74.82,4.24,22.26,0.38,-0.34,-0.83,49.55,"0,38 heller","0,34 weniger rot","0,83 weniger gelb",0.55,2003 (05.01.2023 07:23:09)
461,BP 110/02 (717221),ZSK 70.8,23010000,18:00,1,JH,11,1.15,FAIL,74.76,4.33,22.01,0.32,-0.25,-1.08,49.23,"0,32 heller","0,25 weniger rot","1,08 weniger gelb",0.6,2004 (05.01.2023 07:24:38)
462,BP 110/02 (717221),ZSK 70.8,23010000,18:00,1,JH,11,1.3,FAIL,74.83,4.14,21.92,0.4,-0.44,-1.16,48.85,"0,40 heller","0,44 weniger rot","1,16 weniger gelb",0.71,2005 (05.01.2023 07:25:40)
463,BP 110/02 (717221),ZSK 70.8,23010001,6:00,1,JH,11,0.82,Warnung,74.72,4.41,22.34,0.29,-0.17,-0.75,49.9,"0,29 heller","0,17 weniger rot","0,75 weniger gelb",0.43,2014 (05.01.2023 07:41:29)
464,BP 110/02 (717221),MP,23010009,14:27,1,JH,11,4.2,FAIL,77.11,3.19,20.16,2.67,-1.38,-2.93,43.85,"2,67 heller","1,38 weniger rot","2,93 weniger gelb",2.67,2015 (05.01.2023 07:43:21)
465,BP 110/02 (717221),ZSK 70.4,2310011,6:13,1,LK,11,5.62,FAIL,77.49,2.74,18.74,3.05,-1.84,-4.35,40.76,"3,05 heller","1,84 weniger rot","4,35 weniger gelb",3.46,2023 (05.01.2023 08:25:12)
466,BP 110/02 (717221),ZSK 70.5,23010011,6:14,1,LK,11,3.33,FAIL,75.87,3.45,20.3,1.44,-1.13,-2.79,44.87,"1,44 heller","1,13 weniger rot","2,79 weniger gelb",1.94,2024 (05.01.2023 08:26:19)
467,BP 110/02 (717221),ZSK 70.9,23010011,6:14,1,LK,11,4.51,FAIL,77.92,3.24,20.56,3.49,-1.34,-2.53,44.26,"3,49 heller","1,34 weniger rot","2,53 weniger gelb",3.02,2025 (05.01.2023 08:27:48)
468,BP 110/02 (717221),MP,23010011,10:36,1,LK,11,3.6,FAIL,76.33,3.57,20.19,1.9,-1.01,-2.89,44.6,"1,90 heller","1,01 weniger rot","2,89 weniger gelb",2.13,2028 (05.01.2023 12:16:40)
469,BP 110/02 (717221),ZSK 70.4,23010012,18:00,1,JH,11,4.57,FAIL,77.44,3.06,19.99,3.01,-1.51,-3.09,43.3,"3,01 heller","1,51 weniger rot","3,09 weniger gelb",2.94,2039 (06.01.2023 07:04:27)
470,BP 110/02 (717221),ZSK 70.5,23010012,18:00,1,JH,11,1.79,FAIL,75.87,3.55,22.77,1.43,-1.03,-0.31,49.28,"1,43 heller","1,03 weniger rot","0,31 weniger gelb",1.44,2040 (06.01.2023 07:05:46)
471,BP 110/02 (717221),ZSK 70.9,23010012,18:00,1,JH,11,4.41,FAIL,78.02,2.84,21.2,3.58,-1.74,-1.89,44.96,"3,58 heller","1,74 weniger rot","1,89 weniger gelb",3.16,2041 (06.01.2023 07:06:41)
472,BP 110/02 (717221),MP,23010012,21:09,1,JH,11,3.83,FAIL,77.36,3.01,21.18,2.92,-1.57,-1.91,45.36,"2,92 heller","1,57 weniger rot","1,91 weniger gelb",2.69,2042 (06.01.2023 07:08:07)
473,BP 800 (880031),ZSK 70.6,23880001,14:40,1,JH,11,11.74,FAIL,70.99,3.82,11.89,-3.45,-0.76,-11.2,30.88,"3,45 dunkler","0,76 weniger rot","11,20 weniger gelb",6.89,2043 (06.01.2023 07:12:16)
474,BP 110/02 (717221),ZSK 70.8,23010001,18:00,1,JH,11,2.52,FAIL,75.87,3.67,21.23,1.44,-0.9,-1.86,46.72,"1,44 heller","0,90 weniger rot","1,86 weniger gelb",1.56,2044 (06.01.2023 07:21:20)
475,BP 110/02 (717221),ZSK 70.8,23010001,18:00,1,JH,11,0.85,Warnung,74.69,4.41,22.29,0.25,-0.17,-0.79,49.83,"0,25 heller","0,17 weniger rot","0,79 weniger gelb",0.44,2045 (06.01.2023 07:22:40)
476,BP 110/02 (717221),MP,23010001,0:07,1,JH,11,1.58,FAIL,75.07,4.08,21.72,0.63,-0.5,-1.36,48.33,"0,63 heller","0,50 weniger rot","1,36 weniger gelb",0.89,2046 (06.01.2023 07:23:45)
477,BP 110/02 (717221),MP,23010013,6:52,1,JH,11,3.13,FAIL,76.86,3.36,21.52,2.43,-1.22,-1.56,46.5,"2,43 heller","1,22 weniger rot","1,56 weniger gelb",2.19,2047 (06.01.2023 07:25:30)
478,BP 110/02 (717221),ZSK 70.8,23010002,6:00,1,JH,11,0.33,PASS,74.22,4.6,22.84,-0.21,0.02,-0.25,51.19,"0,21 dunkler","0,02 röter","0,25 weniger gelb",0.21,2049 (06.01.2023 07:28:56)
479,BP 110/02 (717221),ZSK 70.8,23010002,6:13,1,JH,11,1.34,FAIL,73.83,4.37,21.91,-0.61,-0.21,-1.18,49.52,"0,61 dunkler","0,21 weniger rot","1,18 weniger gelb",0.74,2050 (06.01.2023 07:30:34)
480,BP 110/02 (717221),ZSK 70.5,23010013,6:14,1,JH,11,2.29,FAIL,76.17,3.5,22.05,1.74,-1.08,-1.03,47.85,"1,74 heller","1,08 weniger rot","1,03 weniger gelb",1.66,2057 (06.01.2023 08:06:47)
481,BP 110/02 (717221),ZSK 70.4,23010013,6:13,1,JH,11,4.56,FAIL,77.15,3.26,19.67,2.71,-1.32,-3.42,43.03,"2,71 heller","1,32 weniger rot","3,42 weniger gelb",2.8,2058 (06.01.2023 08:13:05)
482,BP 110/02 (717221),ZSK 70.9,23010013,6:14,1,JH,11,3.52,FAIL,77.38,3.56,21.46,2.95,-1.02,-1.63,46.34,"2,95 heller","1,02 weniger rot","1,63 weniger gelb",2.43,2059 (06.01.2023 08:14:04)
483,BP 110/02 (717221),ZSK 70.4,23010015,18:00,1,LK,11,7.61,FAIL,78.37,2.22,17.02,3.93,-2.36,-6.07,36.83,"3,93 heller","2,36 weniger rot","6,07 weniger gelb",4.66,2068 (09.01.2023 07:19:45)
484,BP 110/02 (717221),ZSK 70.5,23010015,18:00,1,LK,11,5.05,FAIL,76.91,2.54,19.19,2.47,-2.04,-3.9,41.6,"2,47 heller","2,04 weniger rot","3,90 weniger gelb",3.18,2069 (09.01.2023 07:20:56)
485,BP 110/02 (717221),ZSK 70.9,23010015,18:00,1,LK,11,5.58,FAIL,78.85,2.82,20.17,4.42,-1.76,-2.91,42.83,"4,42 heller","1,76 weniger rot","2,91 weniger gelb",3.8,2070 (09.01.2023 07:22:12)
486,BP 110/02 (717221),MP,23010015,2:10,1,LK,11,6.07,FAIL,78.25,2.65,18.78,3.81,-1.93,-4.31,40.45,"3,81 heller","1,93 weniger rot","4,31 weniger gelb",3.85,2071 (09.01.2023 07:23:09)
487,BP 110/02 (717221),MP,23010014,17:02,1,LK,11,4.11,FAIL,77.25,3.25,20.41,2.82,-1.33,-2.67,44.29,"2,82 heller","1,33 weniger rot","2,67 weniger gelb",2.66,2072 (09.01.2023 07:25:59)
488,BP 110/02 (717221),ZSK 70.8,23010002,18:00,1,LK,11,1.69,FAIL,75.38,4.07,21.78,0.94,-0.51,-1.31,48.28,"0,94 heller","0,51 weniger rot","1,31 weniger gelb",1.01,2077 (09.01.2023 07:36:55)
489,BP 110/02 (717221),ZSK 70.8,23010002,18:00 AA,1,LK,11,1.32,FAIL,75.34,4.22,22.2,0.91,-0.36,-0.89,49.17,"0,91 heller","0,36 weniger rot","0,89 weniger gelb",0.83,2078 (09.01.2023 07:38:02)
490,BP 110/02 (717221),ZSK 70.8,23010002,1:14,1,LK,11,1.48,FAIL,75.18,4.21,21.86,0.75,-0.37,-1.22,48.65,"0,75 heller","0,37 weniger rot","1,22 weniger gelb",0.85,2079 (09.01.2023 07:39:17)
491,BP 110/02 (717221),ZSK 70.8,23010003,15:00,2,AK,11,0.79,PASS,73.79,4.75,22.66,-0.65,0.17,-0.42,51.24,"0,65 dunkler","0,17 röter","0,42 weniger gelb",0.57,2091 (09.01.2023 16:02:44)
492,BP 110/02 (717221),ZSK 70.8,23010003,19:45,2,Trainee,11,1.14,FAIL,75.1,4.13,22.28,0.66,-0.45,-0.81,49.33,"0,66 heller","0,45 weniger rot","0,81 weniger gelb",0.72,2100 (10.01.2023 07:21:57)
493,BP 110/02 (717221),ZSK 70.8,23010003 AA,18:15,2,Trainee,11,0.57,PASS,73.88,4.71,23.03,-0.55,0.13,-0.05,51.79,"0,55 dunkler","0,13 röter","0,05 weniger gelb",0.43,2101 (10.01.2023 07:23:12)
494,BP 110/02 (717221),ZSK 70.8,23010003 AA,6:00,2,Trainee,11,1.63,FAIL,72.87,5.03,23.22,-1.56,0.45,0.13,52.94,"1,56 dunkler","0,45 röter","0,13 gelber",1.23,2102 (10.01.2023 07:24:37)
495,BP 110/02 (717221),ZSK 70.8,23010003,6:00,2,Trainee,11,1.35,FAIL,73.13,4.93,23.13,-1.3,0.35,0.04,52.55,"1,30 dunkler","0,35 röter","0,04 gelber",1.02,2103 (10.01.2023 07:25:53)
496,BP 110/02 (717221),ZSK 70.8,23010003,8:40,2,Trainee,11,1.82,FAIL,75.22,4.07,21.53,0.78,-0.51,-1.56,47.91,"0,78 heller","0,51 weniger rot","1,56 weniger gelb",1.02,2127 (10.01.2023 11:47:41)
497,BP 110/02 (717221),ZSK 70.8,23010003 1-22 AA,22:35,2,Trainee,11,0.65,PASS,73.83,4.81,23.03,-0.6,0.23,-0.06,51.91,"0,60 dunkler","0,23 röter","0,06 weniger gelb",0.5,2131 (11.01.2023 07:17:43)
498,BP 110/02 (717221),ZSK 70.8,23010003,18:00,2,Trainee,11,0.88,Warnung,74.76,4.24,22.34,0.32,-0.34,-0.74,49.72,"0,32 heller","0,34 weniger rot","0,74 weniger gelb",0.5,2132 (11.01.2023 07:18:51)
