,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
602,BP 110/02 (717221),ZSK 70.8,22010711,18:00,75.13,4.46,22.98,50.86
603,BP 110/02 (717221),ZSK 70.8,22010712,9:44,74.73,4.6,23.05,51.31
604,BP 110/02 (717221),ZSK 70.8,22010713,6:51,75.9,4.2,22.12,48.77
605,BP 110/02 (717221),ZSK 70.8,22010713,10:03,76,4.03,21.76,47.93
606,BP 110/02 (717221),ZSK 70.8,22010712,18:15,75.11,4.57,23.29,51.51
607,BP 110/02 (717221),ZSK 70.8,22010713,18:15,73.37,5.31,23.88,54.11
608,BP 110/02 (717221),ZSK 70.8,22010714,8:20,74.39,5,23.02,51.82
609,BP 110/02 (717221),ZSK 70.8,22010714,9:30,75.01,4.3,21.76,48.65
610,BP 110/02 (717221),ZSK 70.8,22010714,18:21,75.93,4.16,22.27,48.97
611,BP 110/02 (717221),ZSK 70.8,22010714,6:00,75.3,4.5,22.37,49.77
612,BP 110/02 (717221),ZSK 70.8,22010716,7:45,75.95,3.9,21.16,46.78
613,BP 110/02 (717221),ZSK 70.8,22010766,19:19,76.03,4.07,21.88,48.15
614,BP 110/02 (717221),ZSK 70.8,22010766,6:00,76.41,3.74,21.52,47.06
615,BP 110/02 (717221),ZSK 70.8,22010766,18:00,77.07,3.59,20.71,45.22
616,BP 110/02 (717231),ZSK 70.8,22010765,12:18,75.36,4.25,22.08,48.98
617,BP 110/02 (717221),ZSK 70.8,22010767,6:05,76.81,3.61,20.84,45.56
618,BP 110/02 (717231),ZSK 70.8,22010767,10:00,76.24,3.85,21.67,47.49
619,BP 110/02 (717231),ZSK 70.8,22010765,18:00,75.8,4.32,22.13,48.93
620,BP 110/02 (717231),ZSK 70.8,22010765,4:24,75.76,4.24,22.07,48.76
621,BP 110/02 (717231),ZSK 70.8,22010767,18:00,76.07,3.89,21.85,47.91
622,BP 110/02 (717231),ZSK 70.8,22010771,7:00,75.74,4,21.76,48.02
623,BP 110/02 (717231),ZSK 70.8,22010771,9:33,75.24,4.22,22.23,49.27
624,BP 110/02 (717231),ZSK 70.8,22010771,18:00,75.44,4.29,22.42,49.57
625,BP 110/02 (717221),ZSK 70.8,22010772,6:00,75.05,4.41,22.27,49.62
626,BP 110/02 (717221),ZSK 70.8,22010772,18:00,75.09,4.55,22.89,50.8
627,BP 110/02 (717221),ZSK 70.8,22010772,10:10,75.56,4.15,22.26,49.11
628,BP 110/02 (717231),ZSK 70.8,22010773,18:33,75.8,4.05,22.03,48.51
629,BP 110/02 (717231),ZSK 70.8,22010773,9:48,75.67,4.16,22.1,48.8
630,BP 110/02 (717221),ZSK 70.5,22010797,9:48,77.15,2.45,19.27,41.57
631,BP 110/02 (717221),ZSK 70.4,22010797,10:24,76.67,2.41,19.32,41.81
632,BP 110/02 (717221),ZSK 70.9,22010797,11:10,76.06,3.79,22.01,48.1
633,BP 110/02 (717221),ZSK 70.8,22010774,7:13,75.29,4.32,22.62,50.02
634,BP 110/02 (717221),ZSK 70.8,22010774,11:01,74.53,4.6,22.98,51.28
635,BP 110/02 (717221),ZSK 70.8,22010773,18:00,75.72,4.08,22.13,48.75
636,BP 110/02 (717221),ZSK 70.4,22010797,18:00,78.11,2.23,17.99,38.7
637,BP 110/02 (717221),ZSK 70.5,22010797,18:00,77.43,2.32,19.48,41.7
638,BP 110/02 (717221),ZSK 70.9,22010797,18:00,75.96,3.86,22.88,49.71
639,BP 110/02 (717221),ZSK 70.8,22010775,6:53,76.12,3.9,21.57,47.41
640,BP 110/02 (717221),ZSK 70.8,22010774,18:00,75.31,4.25,22.55,49.82
641,BP 110/02 (717221),ZSK 70.4,22010803,6:26,78.12,2.79,20.14,43.03
642,BP 110/02 (717221),ZSK 70.5,22010803,6:26,77.05,3.32,21.69,46.67
643,BP 110/02 (717221),ZSK 70.9,22010803,6:27,76.66,3.75,21.48,46.88
644,BP 110/02 (717231),ZSK 70.8,22010775,6:24,76.13,3.87,21.44,47.16
645,BP 110/02 (717231),ZSK 70.8,22010775,6:00,75.4,4.27,22.38,49.51
646,BP 110/02 (717231),ZSK 70.8,22010775,18:00,76.89,3.62,21.42,46.55
647,BP 110/02 (717231),ZSK 70.8,22010776,9:57,75.15,4.36,22.28,49.54
648,BP 110/02 (717231),ZSK 70.8,22010776,9:51,75.07,4.49,22.17,49.5
649,BP 110/02 (717221),ZSK 70.8,22010777,18:00,75.35,4.23,22.02,48.87
650,BP 110/02 (717221),ZSK 70.4,22010806,18:00,77.98,2.66,20.07,42.85
651,BP 110/02 (717221),ZSK 70.5,22010806,18:00,77.18,3.19,20.96,45.22
652,BP 110/02 (717221),ZSK 70.9,22010806,18:00,77.44,3.29,21.12,45.49
653,BP 110/02 (717231),ZSK 70.8,22010780,6:00,74.24,4.62,22.03,49.79
654,BP 110/02 (717231),ZSK 70.8,22010780,6:00,74.78,4.4,21.48,48.36
655,BP 110/02 (717221),ZSK 70.8,22010777,18:00,75.39,4.34,22.02,48.95
656,BP 110/02 (717221),ZSK 70.8,22010781,6:00,75.43,4.36,21.89,48.74
657,BP 110/02 (717221),ZSK 70.8,22010780,18:00,75.32,4.41,22.25,49.45
658,BP 110/02 (717221),ZSK 70.8,22010824,6:00,75.15,4.29,22.11,49.18
659,BP 110/02 (717221),ZSK 70.8,22010824,8:40,75.05,4.31,21.83,48.75
660,BP 110/02 (717221),ZSK 70.8,22010781,18:00,75.31,4.26,21.68,48.32
661,BP 110/02 (717221),ZSK 70.8,22010824,18:00,75.55,4.23,21.66,48.16
662,BP 110/02 (717221),ZSK 70.8,22010825,7:30,75.41,4.09,21.21,47.3
663,BP 110/02 (717221),ZSK 70.8,22010825,18:00,74.67,4.16,21.52,48.24
664,BP 110/02 (717221),ZSK 70.8,22010826,10:52,75.4,4.15,21.91,48.57
665,BP 110/02 (717221),ZSK 70.8,22010826,18:03,75.2,4.39,22.55,50.01
666,BP 110/02 (717221),ZSK 70.8,22010826,6:20,75.23,4.1,21.67,48.19
667,BP 110/02 (717221),ZSK 70.8,22010827,18:11,75.16,4.44,22.61,50.17
668,BP 110/02 (717221),ZSK 70.8,22010827,18:00,74.93,4.67,22.98,51.16
669,BP 110/02 (717221),ZSK 70.8,22010827,6:00,75.33,4.38,22.58,49.99
670,BP 110/02 (717221),ZSK 70.8,22010827,6:02,75.57,4.32,22.25,49.26
671,BP 110/02 (717221),ZSK 70.8,22010828,18:00,74.93,4.57,22.73,50.61
672,BP 110/02 (717221),ZSK 70.8,22010828,18:17,75.46,4.22,22.11,48.97
673,BP 110/02 (717221),ZSK 70.8,22010828,6:00,74.98,4.46,22.26,49.69
674,BP 110/02 (717221),ZSK 70.8,22010828,6:17,74.59,4.45,22.49,50.26
675,BP 110/02 (717221),ZSK 70.8,22010829,18:00,74.99,4.29,22.52,49.96
676,BP 110/02 (717221),ZSK 70.8,22010829,6:00,75.07,4.34,22.15,49.33
677,BP 110/02 (717221),ZSK 70.8,22010829,6:00,74.33,4.47,22.52,50.45
678,BP 110/02 (717221),ZSK 70.8,22010830,18:00,74.99,4.54,22.58,50.31
679,BP 110/02 (717221),ZSK 70.8,22010830,18:27,74.94,4.47,22.72,50.5
680,BP 110/02 (717221),ZSK 70.4,22010841,10:10,78.09,2.77,18.52,40.16
681,BP 110/02 (717221),ZSK 70.5,22010841,9:40,77.27,2.96,20.72,44.56
682,BP 110/02 (717221),ZSK 70.5,22010841,10:39,77.89,2.73,20.28,43.32
683,BP 110/02 (717221),ZSK 70.8,22010830,9:40,74.71,4.37,22.58,50.27
684,BP 110/02 (717221),ZSK 70.9,22010841,12:39,78.36,2.89,19.29,41.52
685,BP 110/02 (717221),ZSK 70.8,22010830,14:15,74.7,4.47,22.54,50.3
686,BP 110/02 (717221),ZSK 70.8,22010831,7:00,75.1,4.26,22.05,49.06
687,BP 110/02 (717221),ZSK 70.4,22010843,7:02,77.16,3.41,19.31,42.54
688,BP 110/02 (717221),ZSK 70.5,22010843,7:03,76.41,3.71,20.79,45.76
689,BP 110/02 (717221),ZSK 70.4,22010841,18:00,77.91,2.73,19.02,41.1
690,BP 110/02 (717221),ZSK 70.5,22010841,18:00,76.63,3.37,21.26,46.15
691,BP 110/02 (717221),ZSK 70.9,22010841,18:00,77.37,3.4,21.54,46.35
692,BP 110/02 (717221),ZSK 70.9,22010843,11:19,77.76,3.13,20.5,44.12
693,BP 110/02 (717221),ZSK 70.8,22010831,18:00,74.43,4.51,22.35,50.14
694,BP 110/02 (717221),ZSK 70.8,22010831,8:14,74.77,4.29,22.13,49.38
695,BP 110/02 (717221),ZSK 70.4,22010844,18:00,77.34,3.17,19.83,43.16
696,BP 110/02 (717221),ZSK 70.5,22010844,18:00,76.42,3.61,21.54,46.96
697,BP 110/02 (717221),ZSK 70.9,22010844,18:00,73.61,4.75,23.35,52.52
698,BP 110/02 (717221),ZSK 70.4,22010845,6:43,77.12,3.15,19.62,42.85
699,BP 110/02 (717221),ZSK 70.5,22010845,6:43,75.89,3.52,21.09,46.31
700,BP 110/02 (717221),ZSK 70.9,22010845,6:44,75.29,4.16,22.58,49.8
701,BP 110/02 (717221),ZSK 70.5,22010846,18:00,76.14,3.68,21.16,46.49
702,BP 110/02 (717221),ZSK 70.9,22010846,18:00,75.86,3.98,22.94,49.98
703,BP 110/02 (717221),ZSK 70.8,22010832,6:54,75.3,4.15,22.2,49.12
704,BP 110/02 (717221),ZSK 70.4,22010847,6:56,77.57,3.03,20.18,43.56
705,BP 110/02 (717221),ZSK 70.5,22010847,6:56,76.92,3.34,20.99,45.53
706,BP 110/02 (717221),ZSK 70.9,22010847,6:57,75.6,4.11,22.98,50.29
707,BP 110/02 (717221),ZSK 70.8,22010831,18:00,76.38,3.69,21.4,46.8
708,BP 110/02 (717221),ZSK 70.4,23100005,10:10,76.42,3.81,20.4,45.16
709,BP 110/02 (717221),ZSK 70.5,23100005,10:10,76.11,3.48,20.63,45.38
710,BP 110/02 (717221),ZSK 70.9,23100005,10:33,76.6,3.43,20.78,45.39
711,BP 110/02 (717221),ZSK 70.4,23010005,18:00,77.28,3.12,19.29,42.17
712,BP 110/02 (717221),ZSK 70.5,23010005,18:00,76.28,3.48,21.33,46.54
713,BP 110/02 (717221),ZSK 70.9,23010005,18:00,74.62,4.1,22,49.05
714,BP 110/02 (717221),ZSK 70.4,23010007,6:43,76.35,3.45,20.05,44.22
715,BP 110/02 (717221),ZSK 70.5,23010007,6:43,75.83,3.59,21.52,47.18
716,BP 110/02 (717221),ZSK 70.9,23010007,6:44,76.91,3.28,21.4,46.19
717,BP 110/02 (717221),ZSK 70.4,23010008,18:00,76.8,3.15,19.74,43.2
718,BP 110/02 (717221),ZSK 70.5,23010008,18:00,74.6,3.86,21.39,47.75
719,BP 110/02 (717221),ZSK 70.9,23010008,18:00,77.48,3.06,21.38,45.7
720,BP 110/02 (717221),ZSK 70.4,23010009,7:09,75.08,3.56,21.49,47.43
721,BP 110/02 (717221),ZSK 70.5,23010009,7:11,74.51,3.95,22.39,49.64
722,BP 110/02 (717221),ZSK 70.9,23010009,7:11,77.41,3.18,21.69,46.38
723,BP 110/02 (717221),ZSK 70.8,23010000,6:00,74.71,4.49,22.49,50.24
724,BP 110/02 (717221),ZSK 70.8,23010000,7:11,75.24,4.06,21.65,48.12
725,BP 110/02 (717221),ZSK 70.9,23010010,18:00,77.82,3.13,20.56,44.2
726,BP 110/02 (717221),ZSK 70.5,23010010,18:00,73.84,4.26,22.3,50.1
727,BP 110/02 (717221),ZSK 70.4,23010010,18:00,75.89,3.53,21.19,46.51
728,BP 110/02 (717221),ZSK 70.8,23010000,20:23,74.82,4.24,22.26,49.55
729,BP 110/02 (717221),ZSK 70.8,23010000,18:00,74.76,4.33,22.01,49.23
730,BP 110/02 (717221),ZSK 70.8,23010000,18:00,74.83,4.14,21.92,48.85
731,BP 110/02 (717221),ZSK 70.8,23010001,6:00,74.72,4.41,22.34,49.9
732,BP 110/02 (717221),ZSK 70.5,23010011,6:14,75.87,3.45,20.3,44.87
733,BP 110/02 (717221),ZSK 70.9,23010011,6:14,77.92,3.24,20.56,44.26
734,BP 110/02 (717221),ZSK 70.4,23010012,18:00,77.44,3.06,19.99,43.3
735,BP 110/02 (717221),ZSK 70.5,23010012,18:00,75.87,3.55,22.77,49.28
736,BP 110/02 (717221),ZSK 70.9,23010012,18:00,78.02,2.84,21.2,44.96
737,BP 110/02 (717221),ZSK 70.8,23010001,18:00,75.87,3.67,21.23,46.72
738,BP 110/02 (717221),ZSK 70.8,23010001,18:00,74.69,4.41,22.29,49.83
739,BP 110/02 (717221),ZSK 70.8,23010002,6:00,74.22,4.6,22.84,51.19
740,BP 110/02 (717221),ZSK 70.8,23010002,6:13,73.83,4.37,21.91,49.52
741,BP 110/02 (717221),ZSK 70.5,23010013,6:14,76.17,3.5,22.05,47.85
742,BP 110/02 (717221),ZSK 70.4,23010013,6:13,77.15,3.26,19.67,43.03
743,BP 110/02 (717221),ZSK 70.9,23010013,6:14,77.38,3.56,21.46,46.34
744,BP 110/02 (717221),ZSK 70.4,23010015,18:00,78.37,2.22,17.02,36.83
745,BP 110/02 (717221),ZSK 70.5,23010015,18:00,76.91,2.54,19.19,41.6
746,BP 110/02 (717221),ZSK 70.9,23010015,18:00,78.85,2.82,20.17,42.83
747,BP 110/02 (717221),ZSK 70.8,23010002,18:00,75.38,4.07,21.78,48.28
748,BP 110/02 (717221),ZSK 70.8,23010002,1:14,75.18,4.21,21.86,48.65
749,BP 110/02 (717221),ZSK 70.8,23010003,15:00,73.79,4.75,22.66,51.24
750,BP 110/02 (717221),ZSK 70.8,23010003,19:45,75.1,4.13,22.28,49.33
751,BP 110/02 (717221),ZSK 70.8,23010003,6:00,73.13,4.93,23.13,52.55
752,BP 110/02 (717221),ZSK 70.8,23010003,8:40,75.22,4.07,21.53,47.91
753,BP 110/02 (717221),ZSK 70.8,23010003,18:00,74.76,4.24,22.34,49.72
754,BP 110/02 (717221),ZSK 70.8,23010004,6:00,72.03,5.42,23.74,54.68
755,BP 110/02 (717221),ZSK 70.8,23010004,11:00,74.13,4.61,22.57,50.79
756,BP 110/02 (717221),ZSK 70.8,23010004,18:05,74.76,4.33,22.62,50.28
757,BP 110/02 (717221),ZSK 70.8,23010004,6:00,74.28,4.64,22.8,51.12
758,BP 110/02 (717231),ZSK 70.8,23010004,6:00,74.61,4.49,22.37,50.07
759,BP 110/02 (717221),ZSK 70.8,23010016,18:00,75.9,3.77,21.34,47
760,BP 110/02 (717221),ZSK 70.8,23010016,15:29,75.93,4.04,21.94,48.28
761,BP 110/02 (717221),ZSK 70.8,23010017,18:12,76.61,3.68,21.28,46.48
762,BP 110/02 (717221),ZSK 70.8,23010017,12:19,74.56,4.45,22.5,50.29
763,BP 110/02 (717221),ZSK 70.8,23010017,18:15,74.56,4.49,22.54,50.4
764,BP 110/02 (717221),ZSK 70.8,23010018,6:05,74.24,4.62,23.1,51.64
765,BP 110/02 (717221),ZSK 70.8,23010018,18:10,76.21,3.87,21.96,48.03
766,BP 110/02 (717221),ZSK 70.8,23010019,6:17,75.12,4.14,21.93,48.74
767,BP 110/02 (717221),ZSK 70.8,23010019,10:20,73.89,4.77,22.89,51.6
768,BP 110/02 (717221),ZSK 70.8,23010019,17:45,74.03,4.68,22.63,51
769,BP 110/02 (717221),ZSK 70.8,23010020,6:00,72.96,5.25,23.33,53.3
770,BP 110/02 (717221),ZSK 70.8,23010020,6:05,73.35,4.93,22.95,52.12
771,BP 110/02 (717221),ZSK 70.8,23010020,12:11,73.5,4.71,22.64,51.3
772,BP 110/02 (717221),ZSK 70.8,23010021,6:08,74.83,4.33,22.24,49.59
773,BP 110/02 (717221),ZSK 70.8,23010021,6:00,74.01,4.61,22.19,50.17
774,BP 110/02 (717221),ZSK 70.8,23010021,18:05,74.21,4.44,21.79,49.2
775,BP 110/02 (717221),ZSK 70.4,23010025,8:58,75.56,4.05,20.74,46.37
776,BP 110/02 (717221),ZSK 70.5,23010025,8:57,75.17,4.14,22.4,49.53
777,BP 110/02 (717221),ZSK 70.9,23010025,8:56,74.05,4.78,23.74,53
778,BP 110/02 (717221),ZSK 70.8,23010022,9:36,74.98,4.32,22.01,49.11
779,BP 110/02 (717221),ZSK 70.4,23010027,6:37,76.68,3.61,19.93,44.03
780,BP 110/02 (717221),ZSK 70.5,23010027,6:37,75.39,3.89,21.7,47.97
781,BP 110/02 (717221),ZSK 70.9,23010027,6:39,73.81,4.96,23.84,53.46
782,BP 110/02 (717221),ZSK 70.8,23010022,18:00,74.57,4.6,22.76,50.87
783,BP 110/02 (717221),ZSK 70.8,23010022,6:38,75.52,3.87,21.09,46.82
784,BP 110/02 (717221),ZSK 70.4,23010025,18:00,76.77,3.51,19.37,42.9
785,BP 110/02 (717221),ZSK 70.5,23010025,18:00,75.14,4.13,22.12,49.05
786,BP 110/02 (717221),ZSK 70.9,23010025,18:00,74.14,4.92,23.41,52.52
787,BP 110/02 (717231),ZSK 70.8,23010023,18:00,74.12,4.64,22.77,51.16
788,BP 110/02 (717231),ZSK 70.8,23010023,6:56,74.45,4.42,21.38,48.36
789,BP 110/02 (717221),ZSK 70.5,23010028,18:00,75.88,3.95,21.47,47.4
790,BP 110/02 (717221),ZSK 70.9,23010028,18:00,74.56,4.73,22.84,51.14
791,BP 110/02 (717221),ZSK 70.8,23010024,18:17,73.56,4.93,23.14,52.36
792,BP 110/02 (717221),ZSK 70.8,23010024,6:40,74.18,4.56,21.61,49.02
793,BP 110/02 (717221),ZSK 70.8,23010024,7:28,74.76,4.42,22.15,49.56
794,BP 110/02 (717221),ZSK 70.8,23010024,18:00,72.79,5.19,22.58,52.03
795,BP 110/02 (717221),ZSK 70.8,23010051,6:56,75.37,4.12,21.38,47.65
796,BP 110/02 (717221),ZSK 70.8,23010051,18:00,75.79,3.95,21.32,47.19
797,BP 110/02 (717231),ZSK 70.8,23010052,12:15,73.15,5.14,23.08,52.67
798,BP 110/02 (717221),ZSK 70.8,23010052,12:45,73.59,4.76,22.29,50.69
799,BP 110/02 (717221),ZSK 70.8,23010052,6:00,74.32,4.61,22.07,49.8
800,BP 110/02 (717221),ZSK 70.8,23010052,18:00,74.66,4.55,22.2,49.81
801,BP 110/02 (717221),ZSK 70.8,23010053,18:00,75.2,4.08,21.31,47.55
802,BP 110/02 (717221),ZSK 70.8,23010053,6:00,75.37,4.11,21.89,48.52
803,BP 110/02 (717221),ZSK 70.8,23010053,6:00,74.66,4.63,22.06,49.64
804,BP 110/02 (717221),ZSK 70.8,23010055,18:00,74.12,4.74,22.56,50.89
805,BP 110/02 (717221),ZSK 70.8,23010055,6:00,74.29,4.46,21.82,49.23
806,BP 110/02 (717221),ZSK 70.8,23010055,9:43,73.81,4.76,22.27,50.56
807,BP 110/02 (717231),ZSK 70.8,23010056,18:00,75.15,4.44,22.28,49.62
808,BP 110/02 (717231),ZSK 70.8,23010056,6:00,73.81,4.84,22.39,50.84
809,BP 110/02 (717231),ZSK 70.8,23010056,6:00,74,4.65,21.77,49.47
810,BP 110/02 (717221),ZSK 70.8,23010075,18:04,72.97,5.13,22.76,52.18
811,BP 110/02 (717221),ZSK 70.8,23010075,11:05,75.86,4.01,21.52,47.56
812,BP 110/02 (717221),ZSK 70.8,23010076,6:15,73.21,5.03,22.4,51.34
813,BP 110/02 (717221),ZSK 70.8,23010075,18:16,73.31,4.95,22.02,50.53
814,BP 110/02 (717221),ZSK 70.8,23010077,6:30,72.85,5.11,22.21,51.26
815,BP 110/02 (717221),ZSK 70.8,23010078,6:05,73.14,5.14,22.91,52.37
816,BP 110/02 (717221),ZSK 70.8,23010077,19:15,72.62,5.56,23.33,53.78
817,BP 110/02 (717221),ZSK 70.8,23010079,7:30,72.74,5.61,23.47,54.01
818,BP 110/02 (717221),ZSK 70.8,23010079,7:40,72.78,5.1,22.4,51.62
819,BP 110/02 (717221),ZSK 70.8,23010078,19:34,72.67,5.62,23.45,54.03
820,BP 110/02 (717221),ZSK 70.8,23010079,18:30,72.67,5.4,23.2,53.38
821,BP 110/02 (717221),ZSK 70.8,23010079,10:03,70.48,6.13,23.79,56.33
822,BP 110/02 (717221),ZSK 70.8,23010080,20:18,72.04,5.56,23.39,54.19
823,BP 110/02 (717221),ZSK 70.8,23010080,6:23,71.76,5.94,23.78,55.41
824,BP 110/02 (717221),ZSK 70.8,23010081,18:00,72.79,5.48,23.99,54.77
825,BP 110/02 (717221),ZSK 70.8,23010081,6:07,75.68,4.12,21.75,48.14
826,BP 110/02 (717221),ZSK 70.8,23010081,6:30,75.48,4.26,22.26,49.26
827,BP 110/02 (717221),ZSK 70.8,23010082,6:21,76.77,3.64,20.9,45.72
828,BP 110/02 (717221),ZSK 70.8,23010081,18:00,76.44,3.68,21.52,46.99
829,BP 110/02 (717221),ZSK 70.8,23010081,18:00,76.16,3.96,21.64,47.58
830,BP 110/02 (717221),ZSK 70.8,23010081,19:55,76.25,3.76,21,46.24
831,BP 110/02 (717221),ZSK 70.8,23010082,18:00,76.83,3.64,21.35,46.48
832,BP 110/02 (717221),ZSK 70.8,23010082,18:00,76.64,3.84,21.35,46.75
833,BP 110/02 (717221),ZSK 70.8,23010083,11:52,74.71,4.6,22.79,50.86
834,BP 110/02 (717221),ZSK 70.8,23010084,10:00,76.03,4.05,21.58,47.62
835,BP 110/02 (717221),ZSK 70.8,23010084,10:15,74.1,4.86,22.02,50.08
836,BP 110/02 (717221),ZSK 70.5,99230059,-,75.39,3.9,22.75,49.8
837,BP 110/02 (717231),ZSK 70.8,23010084,6:00,76.08,3.9,21.38,47.11
838,BP 110/02 (717231),ZSK 70.8,23010085,18:02,75.84,4.06,22.07,48.57
839,BP 110/02 (717231),ZSK 70.8,23010085,6:00,76.12,3.8,21.21,46.7
840,BP 110/02 (717221),ZSK 70.8,23010086,6:00,76.55,3.63,20.95,45.88
841,BP 110/02 (717221),ZSK 70.8,23010086,18:00,75.88,3.98,21.79,47.98
842,BP 110/02 (717221),ZSK 70.8,23010087,18:00,74.95,4.49,22.71,50.51
843,BP 110/02 (717221),ZSK 70.8,23010087,6:00,75.7,4.17,22.33,49.19
844,BP 110/02 (717221),ZSK 70.8,23010087,9:45,75.16,4.17,22.52,49.76
845,BP 110/02 (717231),ZSK 70.8,23010087,18:00,76.52,3.45,21.34,46.42
846,BP 110/02 (717231),ZSK 70.8,23010089,8:30,75.76,3.74,21.15,46.7
847,BP 110/02 (717231),ZSK 70.5,23010089,11:40,73.7,4.84,24.08,53.82
848,BP 110/02 (717231),ZSK 70.5,23010089,17:50,75.38,4.13,23.39,51.12
849,BP 110/02 (7172231),ZSK 70.8,23010089,20:17,74.05,4.66,22.5,50.74
850,BP 110/02 (717231),ZSK 70.8,23010089,17:51,75.78,3.96,21.81,48.05
851,BP 110/02 (717231),ZSK 70.5,23010090,6:20,74.48,4.48,24.2,53.27
852,BP 110/02 (717231),ZSK 70.8,23010090,6:20,74.23,4.68,23.13,51.77
853,BP 110/02 (717221),ZSK 70.5,23010092,6:30,73.77,4.86,25.09,55.51
854,BP 110/02 (717221),ZSK 70.8,23010092,6:30,72.65,5.39,23.51,53.91
855,BP 110/02 (717221),ZSK 70.5,23010091,18:12,74.18,4.91,24.88,54.98
856,BP 110/02 (717221),ZSK 70.8,23010091,18:14,72.23,5.44,23.5,54.16
857,BP 110/02 (717221),ZSK 70.5,23010092,11:00,71.69,5.6,25.84,58.63
858,BP 110/02 (717221),ZSK 70.9,99230076,13:58,77.57,3.31,22.59,47.97
859,BP 110/02 (717221),ZSK 70.5,23010092,14:13,71.96,5.69,25.98,58.8
860,BP 110/02 (717231),ZSK 70.8,23010092,18:00,73.59,4.88,22.99,52.04
861,BP 110/02 (717231),ZSK 70.5,23010092,18:00,73.07,4.96,24.43,54.85
862,BP 110/02 (717231),ZSK 70.5,23010160,6:00,73.66,4.78,24.57,54.62
863,BP 110/02 (717231),ZSK 70.8,23010160,12:00,74.28,3.94,21.25,47.73
864,BP 110/02 (717231),ZSK 70.8,23010160,13:10,74.24,4.08,21.97,49.17
865,BP 110/02 (717221),ZSK 70.5,23010161,6:00,73.81,4.87,24.76,54.94
866,BP 110/02 (717221),ZSK 70.5,23010160,18:33,74.57,4.46,24.24,53.27
867,BP 110/02 (717221),ZSK 70.8,23010160,18:33,75.51,3.91,21.58,47.73
868,BP 110/02 (717221),ZSK 70.8,23010161,6:00,76.13,3.73,21.7,47.47
869,BP 110/02 (717321),ZSK 70.5,23010162,18:35,74.41,4.64,24.09,53.27
870,BP 110/02 (717321),ZSK 70.8,23010162,18:36,76.05,3.9,21.62,47.54
871,BP 110/02 (717231),ZSK 70.8,23010163,9:37,74.9,4.17,21.94,48.88
872,BP 110/02 (717231),ZSK 70.5,23010163,9:38,73.61,4.91,24.48,54.61
873,BP 110/02 (717221),ZSK 70.8,23010164,6:22,76.02,3.88,21.4,47.16
874,BP 110/02 (717221),ZSK 70.5,23010164,6:21,74.3,4.42,24.01,52.98
875,BP 110/02 (717221),ZSK 70.5,23010163,18:00,74.16,4.62,24.9,54.76
876,BP 110/02 (717221),ZSK 70.8,23010163,18:00,75.64,3.95,21.82,48.12
877,BP 110/02 (717221),ZSK 70.5,23010166,7:03,71.23,5.83,25.67,58.82
878,BP 110/02 (717221),ZSK 70.8,23010166,9:14,73.41,5.11,23.35,52.96
879,BP 110/02 (717221),ZSK 70.5,23010165,18:00,74.37,4.44,23.48,52.06
880,BP 110/02 (717221),ZSK 70.8,23010165,18:00,74.05,4.54,22.54,50.69
881,BP 110/02 (717221),ZSK 70.5,23010168,6:24,70.78,6.05,25.77,59.5
882,BP 110/02 (717221),ZSK 70.8,23010168,6:24,75.03,4.41,22.14,49.4
883,BP 110/02 (717221),ZSK 70.5,23010167,18:00,71.65,5.91,26.12,59.43
884,BP 110/02 (717221),ZSK 70.8,23010167,18:00,74.79,4.49,22.84,50.79
885,BP 110/02 (717221),ZSK 70.5,23010169,6:19,70.27,6.28,25.64,59.79
886,BP 110/02 (717221),ZSK 70.8,23010169,6:19,75.79,3.99,21.58,47.68
887,BP 110/02 (717221),ZSK 70.5,23010168,18:00,71.09,5.76,25.33,58.25
888,BP 110/02 (717221),ZSK 70.8,23010178,18:00,74.44,4.61,22.82,51.06
889,BP 110/02 (717221),ZSK 70.9,23010178,18:00,74.04,5.12,25.32,56.01
890,BP 110/02 (717221),ZSK 70.9,23010178,23:57,74.89,4.74,24.5,53.83
