,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
151,BP 110/02 (717221),ZSK 70.5,22010443,18:00,76.94,3.55,22.04,47.53
152,BP 110/02 (717221),ZSK 70.9,22010443,18:00,77.62,3.65,21.54,46.48
153,BP 110/02 (717221),ZSK 70.8,22010371,18:00,73.86,4.68,23.41,52.43
154,BP 110/02 (717221),ZSK 70.8,22010371,18:00,74.83,4.11,22.26,49.41
155,BP 110/02 (717221),ZSK 70.8,22010371,18:00,74.4,4.36,22.75,50.71
156,BP 110/02 (717221),ZSK 70.9,22010442,9:15,70.01,6.23,22.02,53.52
157,BP 110/02 (717221),ZSK 70.5,22010442,9:15,68.28,6.9,22.73,56.48
158,BP 110/02 (717221),ZSK 70.8,22010372,10,74.27,4.49,22.35,50.2
159,BP 110/02 (717221),ZSK 70.8,22010372,11:00,74.34,4.43,22.02,49.55
160,BP 110/02 (717221),ZSK 70.8,22010372,13:15,74.43,4.38,21.84,49.12
161,BP 110/02 (717221),ZSK 70.8,22010372,14:26,73.81,4.68,22.31,50.55
162,BP 110/02 (717221),ZSK 70.8,22010486,6:00,73.24,4.84,22.17,50.73
163,BP 110/02 (717221),ZSK 70.8,22010486,6:00,73.7,4.62,22.16,50.27
164,BP 110/02 (717221),ZSK 70.4,22010446,6:00,77.86,2.76,21.48,45.43
165,BP 110/02 (717221),ZSK 70.5,22010446,6:00,76.23,3.73,22.9,49.5
166,BP 110/02 (717221),ZSK 70.9,22010446,6:00,77.08,3.61,21.01,45.75
167,BP 110/02 (717221),ZSK 70.8,22010372,18:00,73.82,4.69,22.33,50.58
168,BP 110/02 (717221),ZSK 70.8,22010372,18:00,73.85,4.64,22.39,50.63
169,BP 110/02 (717221),ZSK 70.8,22010487,6:00,75.23,4.04,22.01,48.72
170,BP 110/02 (717221),ZSK 70.8,22010487,6:00,75.47,3.97,22.5,49.4
171,BP 110/02 (717221),ZSK 70.8,22010487,18:00,74.72,4.37,22.81,50.67
172,BP 110/02 (717221),ZSK 70.8,22010487,19:00,74.5,4.45,22.86,50.94
173,BP 110/02 (717221),ZSK 70.8,22010487,14:00,74.41,4.48,22.73,50.79
174,BP 110/02 (717221),ZSK 70.8,22010488,18:00,75.27,4.04,22.43,49.43
175,BP 110/02 (717221),ZSK 70.8,22010488,18:00,74.79,4.51,23.19,51.42
176,BP 110/02 (717221),ZSK 70.8,22010488,6:00,74.46,4.45,22.94,51.1
177,BP 110/02 (717221),ZSK 70.8,22010488,6:00,75.43,3.98,21.82,48.23
178,BP 110/02 (717221),ZSK 70.8,22010488,9:30,0,0,0,------
179,BP 110/02 (717221),ZSK 70.8,22010488,9:30,74.34,4.48,22.72,50.8
180,BP 110/02 (717221),ZSK 70.4,22010450,6:00,77.43,3.24,21.17,45.52
181,BP 110/02 (717221),ZSK 70.5,22010450,6:00,76.37,3.83,22.52,48.88
182,BP 110/02 (717221),ZSK 70.9,22010450,6:00,75.95,4.2,22.25,48.96
183,BP 110/02 (717221),ZSK 70.4,22010449,18:00,77.45,3.19,21.65,46.31
184,BP 110/02 (717221),ZSK 70.5,22010449,18:00,76.6,3.88,21.68,47.38
185,BP 110/02 (717221),ZSK 70.9,22010449,18:00,74.98,4.7,23.79,52.54
186,BP 110/02 (717221),ZSK 70.8,22010488,12:00,74.76,4.39,22.61,50.32
187,BP 110/02 (717221),ZSK 70.8,22010488,13:00,74.59,4.31,22.72,50.53
188,BP 110/02 (717221),ZSK 70.8,22010488,18:00,75.82,3.96,22.49,49.21
189,BP 110/02 (717221),ZSK 70.8,22010488,18:00,74.8,4.46,23,51.04
190,BP 110/02 (717221),ZSK 70.4,22010452,18:00,0.01,-0.01,0.02,92.18
191,BP 110/02 (717221),ZSK 70.4,22010452,18:00,78.2,2.86,21.08,44.7
192,BP 110/02 (717221),ZSK 70.5,22010452,18:00,77.07,3.39,21.31,46.08
193,BP 110/02 (717221),ZSK 70.9,22010452,18:00,75.78,4.33,22.78,50.08
194,BP 110/02 (717221),70.8,22010489,10:15,75.4,4.15,22.31,49.27
195,BP 110/02 (717221),ZSK 70.8,22010421,6:00,75.21,4.3,22.41,49.67
196,BP 110/02 (717221),ZSK 70.8,22010490,14:00,75.69,4.17,22.72,49.87
197,BP 110/02 (717221),ZSK 70.8,22010490,18:00,75.52,4.17,22.71,49.93
198,BP 110/02 (717221),ZSK 70.8,22010422,8:30,75.95,4,21.55,47.56
199,BP 110/02 (717221),ZSK 70.4,22010457,20:05,75.61,3.85,23.01,50.1
