"qs_merkmal_id","wertnum","bemerkg","csnr"
"198",NULL,NULL,"22800028"
"100","0.17","7 06.00","22800028"
"100","0.1","10 06.00","22800028"
"100","0.11","AA 18.00","22800028"
"100","0.1","MP","22800028"
"100",NULL,NULL,"22800028"
"188","0.0",NULL,"22800028"
"188","1.0",NULL,"22800028"
"203","0.016","AA 18.00","22800028"
"203","0.016","MP","22800028"
"203",NULL,NULL,"22800028"
"203",NULL,NULL,"22800028"
"203",NULL,NULL,"22800028"
"235","20.61","MP","22800028"
"235",NULL,NULL,"22800028"
"235",NULL,NULL,"22800028"
"235",NULL,NULL,"22800028"
"235",NULL,NULL,"22800028"
"236","71.66","MP","22800028"
"236",NULL,NULL,"22800028"
"236",NULL,NULL,"22800028"
"236",NULL,NULL,"22800028"
"236",NULL,NULL,"22800028"
"237","0.76","MP","22800028"
"237",NULL,NULL,"22800028"
"237",NULL,NULL,"22800028"
"237",NULL,NULL,"22800028"
"237",NULL,NULL,"22800028"
"238","8.56","MP","22800028"
"238",NULL,NULL,"22800028"
"238",NULL,NULL,"22800028"
"238",NULL,NULL,"22800028"
"238",NULL,NULL,"22800028"
"197","10.191","AA 18.00","22800030"
"197","10.273","AA 06.00","22800030"
"197","10.543","MP","22800030"
"197","9.8702","AA 09.05","22800030"
"197","12.265","7 10.00","22800030"
"197","10.602","10 10.00","22800030"
"198","1.413","AA 18.00","22800030"
"198","1.412","AA 06.00","22800030"
"198","1.412","MP","22800030"
"198","1.414","AA 09.05","22800030"
"198","1.403","7 10.00","22800030"
"198","1.406","10 10.00","22800030"
"100","0.1","AA 18.00","22800030"
"100","0.13","AA 06.00","22800030"
"100","0.07","MP","22800030"
"100","0.11","AA 09.05","22800030"
"100","0.19","7 10.00","22800030"
"100","0.14","10 10.00","22800030"
"188","0.0",NULL,"22800030"
"188","1.0",NULL,"22800030"
"203","0.018","AA 18.00","22800030"
"203","0.033","AA 06.00","22800030"
"203","0.048","MP","22800030"
"203","0.047","AA 09.05","22800030"
"203","0.139","7 10.00","22800030"
"203","0.097","10 10.00","22800030"
"235","19.4","MP","22800030"
"235",NULL,NULL,"22800030"
"235",NULL,NULL,"22800030"
"235",NULL,NULL,"22800030"
"235",NULL,NULL,"22800030"
